start arm=A1 device=cuda n_classes=3
[A1] §3.2.1 future-perturb ratio=123.398
fold0 ep 001  tr=0.7773  val_AccPaper=0.6411  val_BalAccMaj=0.4274  win_BalAcc=0.4247  win_f1_macro=0.4250
fold0 ep 002  tr=0.5770  val_AccPaper=0.6633  val_BalAccMaj=0.4422  win_BalAcc=0.4352  win_f1_macro=0.4326
fold0 ep 003  tr=0.5384  val_AccPaper=0.6622  val_BalAccMaj=0.4415  win_BalAcc=0.4349  win_f1_macro=0.4312
fold0 ep 004  tr=0.5272  val_AccPaper=0.6622  val_BalAccMaj=0.4415  win_BalAcc=0.4381  win_f1_macro=0.4364
fold0 ep 005  tr=0.5169  val_AccPaper=0.6667  val_BalAccMaj=0.4444  win_BalAcc=0.4388  win_f1_macro=0.4378
fold0 ep 006  tr=0.5113  val_AccPaper=0.6589  val_BalAccMaj=0.4393  win_BalAcc=0.4354  win_f1_macro=0.4309
fold0 ep 007  tr=0.5044  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4378  win_f1_macro=0.4371
fold0 ep 008  tr=0.5018  val_AccPaper=0.6661  val_BalAccMaj=0.4441  win_BalAcc=0.4386  win_f1_macro=0.4382
fold0 ep 009  tr=0.4981  val_AccPaper=0.6583  val_BalAccMaj=0.4389  win_BalAcc=0.4372  win_f1_macro=0.4356
fold0 ep 010  tr=0.4954  val_AccPaper=0.6733  val_BalAccMaj=0.4489  win_BalAcc=0.4416  win_f1_macro=0.4408
fold0 ep 011  tr=0.4922  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4372  win_f1_macro=0.4361
fold0 ep 012  tr=0.4899  val_AccPaper=0.6678  val_BalAccMaj=0.4452  win_BalAcc=0.4409  win_f1_macro=0.4405
fold0 ep 013  tr=0.4887  val_AccPaper=0.6694  val_BalAccMaj=0.4463  win_BalAcc=0.4407  win_f1_macro=0.4401
fold0 ep 014  tr=0.4845  val_AccPaper=0.6756  val_BalAccMaj=0.4504  win_BalAcc=0.4412  win_f1_macro=0.4408
fold0 ep 015  tr=0.4842  val_AccPaper=0.6711  val_BalAccMaj=0.4474  win_BalAcc=0.4410  win_f1_macro=0.4406
fold0 ep 016  tr=0.4805  val_AccPaper=0.6567  val_BalAccMaj=0.4378  win_BalAcc=0.4351  win_f1_macro=0.4329
fold0 ep 017  tr=0.4814  val_AccPaper=0.6733  val_BalAccMaj=0.4489  win_BalAcc=0.4405  win_f1_macro=0.4395
fold0 ep 018  tr=0.4797  val_AccPaper=0.6833  val_BalAccMaj=0.4556  win_BalAcc=0.4427  win_f1_macro=0.4424
fold0 ep 019  tr=0.4769  val_AccPaper=0.6672  val_BalAccMaj=0.4448  win_BalAcc=0.4371  win_f1_macro=0.4367
fold0 ep 020  tr=0.4773  val_AccPaper=0.6672  val_BalAccMaj=0.4448  win_BalAcc=0.4394  win_f1_macro=0.4379
fold0 ep 021  tr=0.4711  val_AccPaper=0.6728  val_BalAccMaj=0.4485  win_BalAcc=0.4418  win_f1_macro=0.4410
fold0 ep 022  tr=0.4694  val_AccPaper=0.6772  val_BalAccMaj=0.4515  win_BalAcc=0.4437  win_f1_macro=0.4433
fold0 ep 023  tr=0.4680  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4400  win_f1_macro=0.4398
fold0 ep 024  tr=0.4671  val_AccPaper=0.6711  val_BalAccMaj=0.4474  win_BalAcc=0.4379  win_f1_macro=0.4369
fold0 ep 025  tr=0.4670  val_AccPaper=0.6589  val_BalAccMaj=0.4393  win_BalAcc=0.4370  win_f1_macro=0.4352
