start arm=P1 device=cuda n_classes=3
[P1] §3.2.1 future-perturb ratio=125.808
fold0 ep 001  tr=1.8552  val_AccPaper=0.6306  val_BalAccMaj=0.4215  win_BalAcc=0.4175  win_f1_macro=0.4164
fold0 ep 002  tr=1.3222  val_AccPaper=0.6511  val_BalAccMaj=0.4341  win_BalAcc=0.4319  win_f1_macro=0.4281
fold0 ep 003  tr=1.2197  val_AccPaper=0.6644  val_BalAccMaj=0.4430  win_BalAcc=0.4404  win_f1_macro=0.4400
fold0 ep 004  tr=1.1639  val_AccPaper=0.6567  val_BalAccMaj=0.4378  win_BalAcc=0.4362  win_f1_macro=0.4349
fold0 ep 005  tr=1.1482  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4369  win_f1_macro=0.4367
fold0 ep 006  tr=1.1284  val_AccPaper=0.6617  val_BalAccMaj=0.4411  win_BalAcc=0.4375  win_f1_macro=0.4364
fold0 ep 007  tr=1.1251  val_AccPaper=0.6678  val_BalAccMaj=0.4452  win_BalAcc=0.4406  win_f1_macro=0.4398
fold0 ep 008  tr=1.1188  val_AccPaper=0.6689  val_BalAccMaj=0.4459  win_BalAcc=0.4397  win_f1_macro=0.4391
fold0 ep 009  tr=1.1092  val_AccPaper=0.6683  val_BalAccMaj=0.4456  win_BalAcc=0.4388  win_f1_macro=0.4388
fold0 ep 010  tr=1.1003  val_AccPaper=0.6622  val_BalAccMaj=0.4415  win_BalAcc=0.4380  win_f1_macro=0.4377
fold0 ep 011  tr=1.1007  val_AccPaper=0.6672  val_BalAccMaj=0.4448  win_BalAcc=0.4416  win_f1_macro=0.4416
fold0 ep 012  tr=1.0933  val_AccPaper=0.6611  val_BalAccMaj=0.4407  win_BalAcc=0.4382  win_f1_macro=0.4379
fold0 ep 013  tr=1.0908  val_AccPaper=0.6594  val_BalAccMaj=0.4396  win_BalAcc=0.4361  win_f1_macro=0.4355
fold0 ep 014  tr=1.0784  val_AccPaper=0.6794  val_BalAccMaj=0.4530  win_BalAcc=0.4432  win_f1_macro=0.4428
fold0 ep 015  tr=1.0778  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4393  win_f1_macro=0.4390
fold0 ep 016  tr=1.0748  val_AccPaper=0.6722  val_BalAccMaj=0.4481  win_BalAcc=0.4410  win_f1_macro=0.4408
fold0 ep 017  tr=1.0704  val_AccPaper=0.6683  val_BalAccMaj=0.4456  win_BalAcc=0.4418  win_f1_macro=0.4417
fold0 ep 018  tr=1.0673  val_AccPaper=0.6700  val_BalAccMaj=0.4467  win_BalAcc=0.4398  win_f1_macro=0.4390
fold0 ep 019  tr=1.0626  val_AccPaper=0.6600  val_BalAccMaj=0.4400  win_BalAcc=0.4375  win_f1_macro=0.4374
fold0 ep 020  tr=1.0572  val_AccPaper=0.6756  val_BalAccMaj=0.4504  win_BalAcc=0.4416  win_f1_macro=0.4416
fold0 ep 021  tr=1.0580  val_AccPaper=0.6656  val_BalAccMaj=0.4437  win_BalAcc=0.4397  win_f1_macro=0.4395
fold0 ep 022  tr=1.0500  val_AccPaper=0.6711  val_BalAccMaj=0.4474  win_BalAcc=0.4381  win_f1_macro=0.4380
fold0 ep 023  tr=1.0437  val_AccPaper=0.6639  val_BalAccMaj=0.4426  win_BalAcc=0.4378  win_f1_macro=0.4378
fold0 ep 024  tr=1.0452  val_AccPaper=0.6639  val_BalAccMaj=0.4426  win_BalAcc=0.4364  win_f1_macro=0.4363
fold0 ep 025  tr=1.0438  val_AccPaper=0.6750  val_BalAccMaj=0.4500  win_BalAcc=0.4414  win_f1_macro=0.4412
fold0 ep 026  tr=1.0371  val_AccPaper=0.6667  val_BalAccMaj=0.4444  win_BalAcc=0.4378  win_f1_macro=0.4375
fold0 ep 027  tr=1.0360  val_AccPaper=0.6622  val_BalAccMaj=0.4415  win_BalAcc=0.4349  win_f1_macro=0.4349
fold0 ep 028  tr=1.0264  val_AccPaper=0.6694  val_BalAccMaj=0.4463  win_BalAcc=0.4388  win_f1_macro=0.4381
fold0 ep 029  tr=1.0238  val_AccPaper=0.6611  val_BalAccMaj=0.4407  win_BalAcc=0.4355  win_f1_macro=0.4353
fold0 ep 030  tr=1.0253  val_AccPaper=0.6633  val_BalAccMaj=0.4422  win_BalAcc=0.4371  win_f1_macro=0.4371
fold0 ep 031  tr=1.0184  val_AccPaper=0.6672  val_BalAccMaj=0.4448  win_BalAcc=0.4368  win_f1_macro=0.4354
