start arm=P1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[P1] §3.2.1 future-perturb ratio=119.478
fold0 ep 001  tr=2.0825  val_AccPaper=0.5222  val_BalAccMaj=0.5256  win_BalAcc=0.5192  win_f1_macro=0.5115
fold0 ep 002  tr=1.8083  val_AccPaper=0.5381  val_BalAccMaj=0.5437  win_BalAcc=0.5371  win_f1_macro=0.5343
fold0 ep 003  tr=1.7395  val_AccPaper=0.5441  val_BalAccMaj=0.5496  win_BalAcc=0.5450  win_f1_macro=0.5442
fold0 ep 004  tr=1.7086  val_AccPaper=0.5515  val_BalAccMaj=0.5556  win_BalAcc=0.5469  win_f1_macro=0.5476
fold0 ep 005  tr=1.6851  val_AccPaper=0.5526  val_BalAccMaj=0.5615  win_BalAcc=0.5502  win_f1_macro=0.5498
fold0 ep 006  tr=1.6729  val_AccPaper=0.5537  val_BalAccMaj=0.5607  win_BalAcc=0.5519  win_f1_macro=0.5517
fold0 ep 007  tr=1.6570  val_AccPaper=0.5533  val_BalAccMaj=0.5589  win_BalAcc=0.5516  win_f1_macro=0.5520
fold0 ep 008  tr=1.6430  val_AccPaper=0.5581  val_BalAccMaj=0.5648  win_BalAcc=0.5555  win_f1_macro=0.5559
fold0 ep 009  tr=1.6403  val_AccPaper=0.5593  val_BalAccMaj=0.5637  win_BalAcc=0.5552  win_f1_macro=0.5557
fold0 ep 010  tr=1.6249  val_AccPaper=0.5648  val_BalAccMaj=0.5715  win_BalAcc=0.5601  win_f1_macro=0.5610
fold0 ep 011  tr=1.6204  val_AccPaper=0.5611  val_BalAccMaj=0.5689  win_BalAcc=0.5585  win_f1_macro=0.5592
fold0 ep 012  tr=1.6114  val_AccPaper=0.5622  val_BalAccMaj=0.5685  win_BalAcc=0.5576  win_f1_macro=0.5583
fold0 ep 013  tr=1.6057  val_AccPaper=0.5670  val_BalAccMaj=0.5730  win_BalAcc=0.5635  win_f1_macro=0.5641
fold0 ep 014  tr=1.6007  val_AccPaper=0.5641  val_BalAccMaj=0.5700  win_BalAcc=0.5621  win_f1_macro=0.5626
fold0 ep 015  tr=1.5971  val_AccPaper=0.5589  val_BalAccMaj=0.5667  win_BalAcc=0.5607  win_f1_macro=0.5607
fold0 ep 016  tr=1.5932  val_AccPaper=0.5696  val_BalAccMaj=0.5767  win_BalAcc=0.5625  win_f1_macro=0.5619
fold0 ep 017  tr=1.5819  val_AccPaper=0.5600  val_BalAccMaj=0.5670  win_BalAcc=0.5561  win_f1_macro=0.5567
fold0 ep 018  tr=1.5790  val_AccPaper=0.5637  val_BalAccMaj=0.5719  win_BalAcc=0.5588  win_f1_macro=0.5586
fold0 ep 019  tr=1.5767  val_AccPaper=0.5567  val_BalAccMaj=0.5641  win_BalAcc=0.5567  win_f1_macro=0.5561
fold0 ep 020  tr=1.5731  val_AccPaper=0.5670  val_BalAccMaj=0.5759  win_BalAcc=0.5576  win_f1_macro=0.5575
fold0 ep 021  tr=1.5683  val_AccPaper=0.5615  val_BalAccMaj=0.5681  win_BalAcc=0.5559  win_f1_macro=0.5550
fold0 ep 022  tr=1.5632  val_AccPaper=0.5604  val_BalAccMaj=0.5693  win_BalAcc=0.5576  win_f1_macro=0.5582
fold0 ep 023  tr=1.5592  val_AccPaper=0.5648  val_BalAccMaj=0.5700  win_BalAcc=0.5577  win_f1_macro=0.5570
fold0 ep 024  tr=1.5541  val_AccPaper=0.5637  val_BalAccMaj=0.5689  win_BalAcc=0.5577  win_f1_macro=0.5581
fold0 ep 025  tr=1.5539  val_AccPaper=0.5600  val_BalAccMaj=0.5637  win_BalAcc=0.5532  win_f1_macro=0.5536
fold0 ep 026  tr=1.5392  val_AccPaper=0.5633  val_BalAccMaj=0.5693  win_BalAcc=0.5585  win_f1_macro=0.5586
fold0 ep 027  tr=1.5368  val_AccPaper=0.5630  val_BalAccMaj=0.5667  win_BalAcc=0.5564  win_f1_macro=0.5570
fold0 ep 028  tr=1.5340  val_AccPaper=0.5674  val_BalAccMaj=0.5726  win_BalAcc=0.5600  win_f1_macro=0.5600
fold0 ep 029  tr=1.5337  val_AccPaper=0.5656  val_BalAccMaj=0.5715  win_BalAcc=0.5581  win_f1_macro=0.5590
fold0 ep 030  tr=1.5265  val_AccPaper=0.5652  val_BalAccMaj=0.5704  win_BalAcc=0.5557  win_f1_macro=0.5557
fold0 ep 031  tr=1.5217  val_AccPaper=0.5559  val_BalAccMaj=0.5607  win_BalAcc=0.5504  win_f1_macro=0.5504
fold0 ep 032  tr=1.5151  val_AccPaper=0.5585  val_BalAccMaj=0.5656  win_BalAcc=0.5524  win_f1_macro=0.5523
fold0 ep 033  tr=1.5127  val_AccPaper=0.5530  val_BalAccMaj=0.5581  win_BalAcc=0.5463  win_f1_macro=0.5466
fold0 ep 034  tr=1.5057  val_AccPaper=0.5574  val_BalAccMaj=0.5641  win_BalAcc=0.5532  win_f1_macro=0.5530
fold0 ep 035  tr=1.5089  val_AccPaper=0.5493  val_BalAccMaj=0.5559  win_BalAcc=0.5464  win_f1_macro=0.5448
fold0 ep 036  tr=1.5056  val_AccPaper=0.5611  val_BalAccMaj=0.5678  win_BalAcc=0.5539  win_f1_macro=0.5546
fold0 early stop @ ep 36
fold1 ep 001  tr=2.1263  val_AccPaper=0.5330  val_BalAccMaj=0.5363  win_BalAcc=0.5336  win_f1_macro=0.5211
fold1 ep 002  tr=1.8849  val_AccPaper=0.5437  val_BalAccMaj=0.5485  win_BalAcc=0.5378  win_f1_macro=0.5297
fold1 ep 003  tr=1.8200  val_AccPaper=0.5541  val_BalAccMaj=0.5619  win_BalAcc=0.5497  win_f1_macro=0.5433
fold1 ep 004  tr=1.7792  val_AccPaper=0.5481  val_BalAccMaj=0.5552  win_BalAcc=0.5520  win_f1_macro=0.5465
fold1 ep 005  tr=1.7564  val_AccPaper=0.5667  val_BalAccMaj=0.5759  win_BalAcc=0.5683  win_f1_macro=0.5666
fold1 ep 006  tr=1.7397  val_AccPaper=0.5785  val_BalAccMaj=0.5863  win_BalAcc=0.5754  win_f1_macro=0.5742
fold1 ep 007  tr=1.7236  val_AccPaper=0.5544  val_BalAccMaj=0.5593  win_BalAcc=0.5551  win_f1_macro=0.5521
fold1 ep 008  tr=1.7142  val_AccPaper=0.5589  val_BalAccMaj=0.5667  win_BalAcc=0.5583  win_f1_macro=0.5538
fold1 ep 009  tr=1.7087  val_AccPaper=0.5644  val_BalAccMaj=0.5737  win_BalAcc=0.5644  win_f1_macro=0.5616
fold1 ep 010  tr=1.6966  val_AccPaper=0.5574  val_BalAccMaj=0.5656  win_BalAcc=0.5572  win_f1_macro=0.5549
fold1 ep 011  tr=1.6924  val_AccPaper=0.5674  val_BalAccMaj=0.5748  win_BalAcc=0.5669  win_f1_macro=0.5658
fold1 ep 012  tr=1.6888  val_AccPaper=0.5633  val_BalAccMaj=0.5704  win_BalAcc=0.5588  win_f1_macro=0.5564
fold1 ep 013  tr=1.6763  val_AccPaper=0.5663  val_BalAccMaj=0.5719  win_BalAcc=0.5623  win_f1_macro=0.5597
fold1 ep 014  tr=1.6711  val_AccPaper=0.5478  val_BalAccMaj=0.5556  win_BalAcc=0.5493  win_f1_macro=0.5463
fold1 ep 015  tr=1.6689  val_AccPaper=0.5607  val_BalAccMaj=0.5667  win_BalAcc=0.5566  win_f1_macro=0.5535
fold1 ep 016  tr=1.6538  val_AccPaper=0.5626  val_BalAccMaj=0.5719  win_BalAcc=0.5631  win_f1_macro=0.5617
fold1 ep 017  tr=1.6564  val_AccPaper=0.5604  val_BalAccMaj=0.5656  win_BalAcc=0.5572  win_f1_macro=0.5552
fold1 ep 018  tr=1.6472  val_AccPaper=0.5678  val_BalAccMaj=0.5715  win_BalAcc=0.5624  win_f1_macro=0.5611
fold1 ep 019  tr=1.6438  val_AccPaper=0.5670  val_BalAccMaj=0.5752  win_BalAcc=0.5647  win_f1_macro=0.5625
fold1 ep 020  tr=1.6386  val_AccPaper=0.5522  val_BalAccMaj=0.5589  win_BalAcc=0.5533  win_f1_macro=0.5495
fold1 ep 021  tr=1.6268  val_AccPaper=0.5607  val_BalAccMaj=0.5652  win_BalAcc=0.5555  win_f1_macro=0.5534
fold1 ep 022  tr=1.6320  val_AccPaper=0.5619  val_BalAccMaj=0.5696  win_BalAcc=0.5592  win_f1_macro=0.5564
fold1 ep 023  tr=1.6254  val_AccPaper=0.5467  val_BalAccMaj=0.5541  win_BalAcc=0.5425  win_f1_macro=0.5410
fold1 ep 024  tr=1.6289  val_AccPaper=0.5548  val_BalAccMaj=0.5622  win_BalAcc=0.5578  win_f1_macro=0.5556
fold1 ep 025  tr=1.6250  val_AccPaper=0.5511  val_BalAccMaj=0.5593  win_BalAcc=0.5546  win_f1_macro=0.5484
fold1 ep 026  tr=1.6148  val_AccPaper=0.5696  val_BalAccMaj=0.5763  win_BalAcc=0.5701  win_f1_macro=0.5683
fold1 early stop @ ep 26
fold2 ep 001  tr=2.0715  val_AccPaper=0.5137  val_BalAccMaj=0.5178  win_BalAcc=0.5115  win_f1_macro=0.5098
fold2 ep 002  tr=1.8038  val_AccPaper=0.5256  val_BalAccMaj=0.5293  win_BalAcc=0.5195  win_f1_macro=0.5190
fold2 ep 003  tr=1.7291  val_AccPaper=0.5385  val_BalAccMaj=0.5448  win_BalAcc=0.5296  win_f1_macro=0.5302
