start arm=B5a device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B5a] §3.2.1 future-perturb ratio=125.573
fold0 ep 001  tr=1.1323  val_AccPaper=0.5196  val_BalAccMaj=0.5230  win_BalAcc=0.5155  win_f1_macro=0.5135
fold0 ep 002  tr=0.9849  val_AccPaper=0.5393  val_BalAccMaj=0.5430  win_BalAcc=0.5383  win_f1_macro=0.5377
fold0 ep 003  tr=0.9374  val_AccPaper=0.5493  val_BalAccMaj=0.5544  win_BalAcc=0.5455  win_f1_macro=0.5455
fold0 ep 004  tr=0.9135  val_AccPaper=0.5526  val_BalAccMaj=0.5585  win_BalAcc=0.5486  win_f1_macro=0.5490
fold0 ep 005  tr=0.9000  val_AccPaper=0.5522  val_BalAccMaj=0.5570  win_BalAcc=0.5492  win_f1_macro=0.5497
fold0 ep 006  tr=0.8866  val_AccPaper=0.5581  val_BalAccMaj=0.5626  win_BalAcc=0.5553  win_f1_macro=0.5559
fold0 ep 007  tr=0.8833  val_AccPaper=0.5559  val_BalAccMaj=0.5615  win_BalAcc=0.5570  win_f1_macro=0.5580
fold0 ep 008  tr=0.8731  val_AccPaper=0.5559  val_BalAccMaj=0.5619  win_BalAcc=0.5547  win_f1_macro=0.5554
fold0 ep 009  tr=0.8729  val_AccPaper=0.5678  val_BalAccMaj=0.5730  win_BalAcc=0.5611  win_f1_macro=0.5611
fold0 ep 010  tr=0.8707  val_AccPaper=0.5630  val_BalAccMaj=0.5696  win_BalAcc=0.5634  win_f1_macro=0.5643
fold0 ep 011  tr=0.8618  val_AccPaper=0.5633  val_BalAccMaj=0.5707  win_BalAcc=0.5614  win_f1_macro=0.5623
fold0 ep 012  tr=0.8624  val_AccPaper=0.5678  val_BalAccMaj=0.5715  win_BalAcc=0.5599  win_f1_macro=0.5608
fold0 ep 013  tr=0.8594  val_AccPaper=0.5678  val_BalAccMaj=0.5767  win_BalAcc=0.5586  win_f1_macro=0.5592
fold0 ep 014  tr=0.8546  val_AccPaper=0.5674  val_BalAccMaj=0.5756  win_BalAcc=0.5600  win_f1_macro=0.5607
fold0 ep 015  tr=0.8509  val_AccPaper=0.5659  val_BalAccMaj=0.5722  win_BalAcc=0.5633  win_f1_macro=0.5639
fold0 ep 016  tr=0.8483  val_AccPaper=0.5733  val_BalAccMaj=0.5796  win_BalAcc=0.5648  win_f1_macro=0.5655
fold0 ep 017  tr=0.8473  val_AccPaper=0.5626  val_BalAccMaj=0.5711  win_BalAcc=0.5585  win_f1_macro=0.5587
fold0 ep 018  tr=0.8441  val_AccPaper=0.5663  val_BalAccMaj=0.5722  win_BalAcc=0.5581  win_f1_macro=0.5583
fold0 ep 019  tr=0.8413  val_AccPaper=0.5696  val_BalAccMaj=0.5781  win_BalAcc=0.5626  win_f1_macro=0.5627
fold0 ep 020  tr=0.8418  val_AccPaper=0.5733  val_BalAccMaj=0.5804  win_BalAcc=0.5650  win_f1_macro=0.5648
fold0 ep 021  tr=0.8402  val_AccPaper=0.5719  val_BalAccMaj=0.5781  win_BalAcc=0.5610  win_f1_macro=0.5614
fold0 ep 022  tr=0.8364  val_AccPaper=0.5696  val_BalAccMaj=0.5770  win_BalAcc=0.5622  win_f1_macro=0.5619
fold0 ep 023  tr=0.8379  val_AccPaper=0.5796  val_BalAccMaj=0.5867  win_BalAcc=0.5658  win_f1_macro=0.5667
fold0 ep 024  tr=0.8325  val_AccPaper=0.5726  val_BalAccMaj=0.5807  win_BalAcc=0.5638  win_f1_macro=0.5641
fold0 ep 025  tr=0.8340  val_AccPaper=0.5748  val_BalAccMaj=0.5793  win_BalAcc=0.5643  win_f1_macro=0.5648
fold0 ep 026  tr=0.8291  val_AccPaper=0.5667  val_BalAccMaj=0.5730  win_BalAcc=0.5573  win_f1_macro=0.5576
fold0 ep 027  tr=0.8282  val_AccPaper=0.5770  val_BalAccMaj=0.5841  win_BalAcc=0.5654  win_f1_macro=0.5658
fold0 ep 028  tr=0.8220  val_AccPaper=0.5763  val_BalAccMaj=0.5826  win_BalAcc=0.5621  win_f1_macro=0.5624
fold0 ep 029  tr=0.8249  val_AccPaper=0.5685  val_BalAccMaj=0.5756  win_BalAcc=0.5650  win_f1_macro=0.5654
fold0 ep 030  tr=0.8240  val_AccPaper=0.5726  val_BalAccMaj=0.5770  win_BalAcc=0.5658  win_f1_macro=0.5659
fold0 ep 031  tr=0.8215  val_AccPaper=0.5667  val_BalAccMaj=0.5730  win_BalAcc=0.5584  win_f1_macro=0.5581
fold0 ep 032  tr=0.8211  val_AccPaper=0.5681  val_BalAccMaj=0.5726  win_BalAcc=0.5636  win_f1_macro=0.5636
fold0 ep 033  tr=0.8167  val_AccPaper=0.5622  val_BalAccMaj=0.5678  win_BalAcc=0.5615  win_f1_macro=0.5618
fold0 ep 034  tr=0.8195  val_AccPaper=0.5759  val_BalAccMaj=0.5800  win_BalAcc=0.5662  win_f1_macro=0.5665
fold0 ep 035  tr=0.8137  val_AccPaper=0.5722  val_BalAccMaj=0.5785  win_BalAcc=0.5643  win_f1_macro=0.5647
fold0 ep 036  tr=0.8093  val_AccPaper=0.5719  val_BalAccMaj=0.5778  win_BalAcc=0.5619  win_f1_macro=0.5620
