start arm=B5b device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B5b] §3.2.1 future-perturb ratio=134.064
fold0 ep 001  tr=2.1064  val_AccPaper=0.5200  val_BalAccMaj=0.5230  win_BalAcc=0.5147  win_f1_macro=0.5068
fold0 ep 002  tr=1.8292  val_AccPaper=0.5348  val_BalAccMaj=0.5411  win_BalAcc=0.5310  win_f1_macro=0.5268
fold0 ep 003  tr=1.7542  val_AccPaper=0.5526  val_BalAccMaj=0.5585  win_BalAcc=0.5457  win_f1_macro=0.5452
fold0 ep 004  tr=1.7122  val_AccPaper=0.5596  val_BalAccMaj=0.5667  win_BalAcc=0.5516  win_f1_macro=0.5521
fold0 ep 005  tr=1.6880  val_AccPaper=0.5630  val_BalAccMaj=0.5681  win_BalAcc=0.5571  win_f1_macro=0.5578
fold0 ep 006  tr=1.6773  val_AccPaper=0.5644  val_BalAccMaj=0.5689  win_BalAcc=0.5584  win_f1_macro=0.5590
fold0 ep 007  tr=1.6583  val_AccPaper=0.5659  val_BalAccMaj=0.5715  win_BalAcc=0.5591  win_f1_macro=0.5598
fold0 ep 008  tr=1.6427  val_AccPaper=0.5630  val_BalAccMaj=0.5674  win_BalAcc=0.5546  win_f1_macro=0.5550
fold0 ep 009  tr=1.6425  val_AccPaper=0.5659  val_BalAccMaj=0.5715  win_BalAcc=0.5624  win_f1_macro=0.5633
fold0 ep 010  tr=1.6336  val_AccPaper=0.5659  val_BalAccMaj=0.5700  win_BalAcc=0.5611  win_f1_macro=0.5615
fold0 ep 011  tr=1.6235  val_AccPaper=0.5719  val_BalAccMaj=0.5796  win_BalAcc=0.5641  win_f1_macro=0.5646
fold0 ep 012  tr=1.6230  val_AccPaper=0.5730  val_BalAccMaj=0.5785  win_BalAcc=0.5627  win_f1_macro=0.5632
fold0 ep 013  tr=1.6209  val_AccPaper=0.5659  val_BalAccMaj=0.5715  win_BalAcc=0.5617  win_f1_macro=0.5627
fold0 ep 014  tr=1.6025  val_AccPaper=0.5656  val_BalAccMaj=0.5741  win_BalAcc=0.5601  win_f1_macro=0.5605
fold0 ep 015  tr=1.6040  val_AccPaper=0.5611  val_BalAccMaj=0.5693  win_BalAcc=0.5605  win_f1_macro=0.5610
fold0 ep 016  tr=1.5989  val_AccPaper=0.5689  val_BalAccMaj=0.5748  win_BalAcc=0.5614  win_f1_macro=0.5613
fold0 ep 017  tr=1.5906  val_AccPaper=0.5626  val_BalAccMaj=0.5693  win_BalAcc=0.5576  win_f1_macro=0.5586
fold0 ep 018  tr=1.5909  val_AccPaper=0.5689  val_BalAccMaj=0.5748  win_BalAcc=0.5604  win_f1_macro=0.5611
fold0 ep 019  tr=1.5781  val_AccPaper=0.5733  val_BalAccMaj=0.5785  win_BalAcc=0.5646  win_f1_macro=0.5656
fold0 ep 020  tr=1.5795  val_AccPaper=0.5715  val_BalAccMaj=0.5774  win_BalAcc=0.5604  win_f1_macro=0.5613
fold0 ep 021  tr=1.5782  val_AccPaper=0.5681  val_BalAccMaj=0.5737  win_BalAcc=0.5621  win_f1_macro=0.5630
fold0 ep 022  tr=1.5721  val_AccPaper=0.5615  val_BalAccMaj=0.5663  win_BalAcc=0.5573  win_f1_macro=0.5574
