start arm=B9 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[B9] §3.2.1 future-perturb ratio=125.733
fold0 ep 001  tr=2.1328  val_AccPaper=0.5181  val_BalAccMaj=0.5222  win_BalAcc=0.5196  win_f1_macro=0.5191
fold0 ep 002  tr=1.8387  val_AccPaper=0.5330  val_BalAccMaj=0.5367  win_BalAcc=0.5308  win_f1_macro=0.5265
fold0 ep 003  tr=1.7445  val_AccPaper=0.5456  val_BalAccMaj=0.5511  win_BalAcc=0.5426  win_f1_macro=0.5417
fold0 ep 004  tr=1.6980  val_AccPaper=0.5481  val_BalAccMaj=0.5519  win_BalAcc=0.5457  win_f1_macro=0.5435
fold0 ep 005  tr=1.6775  val_AccPaper=0.5556  val_BalAccMaj=0.5607  win_BalAcc=0.5495  win_f1_macro=0.5477
fold0 ep 006  tr=1.6539  val_AccPaper=0.5578  val_BalAccMaj=0.5633  win_BalAcc=0.5538  win_f1_macro=0.5540
fold0 ep 007  tr=1.6411  val_AccPaper=0.5574  val_BalAccMaj=0.5633  win_BalAcc=0.5518  win_f1_macro=0.5493
fold0 ep 008  tr=1.6289  val_AccPaper=0.5589  val_BalAccMaj=0.5637  win_BalAcc=0.5560  win_f1_macro=0.5536
fold0 ep 009  tr=1.6188  val_AccPaper=0.5644  val_BalAccMaj=0.5711  win_BalAcc=0.5554  win_f1_macro=0.5519
fold0 ep 010  tr=1.6095  val_AccPaper=0.5559  val_BalAccMaj=0.5622  win_BalAcc=0.5517  win_f1_macro=0.5493
fold0 ep 011  tr=1.5962  val_AccPaper=0.5670  val_BalAccMaj=0.5719  win_BalAcc=0.5613  win_f1_macro=0.5604
fold0 ep 012  tr=1.5908  val_AccPaper=0.5637  val_BalAccMaj=0.5681  win_BalAcc=0.5592  win_f1_macro=0.5591
fold0 ep 013  tr=1.5828  val_AccPaper=0.5630  val_BalAccMaj=0.5693  win_BalAcc=0.5566  win_f1_macro=0.5554
fold0 ep 014  tr=1.5799  val_AccPaper=0.5689  val_BalAccMaj=0.5744  win_BalAcc=0.5605  win_f1_macro=0.5595
fold0 ep 015  tr=1.5755  val_AccPaper=0.5593  val_BalAccMaj=0.5659  win_BalAcc=0.5586  win_f1_macro=0.5582
fold0 ep 016  tr=1.5610  val_AccPaper=0.5656  val_BalAccMaj=0.5681  win_BalAcc=0.5563  win_f1_macro=0.5550
fold0 ep 017  tr=1.5553  val_AccPaper=0.5593  val_BalAccMaj=0.5641  win_BalAcc=0.5529  win_f1_macro=0.5504
fold0 ep 018  tr=1.5543  val_AccPaper=0.5681  val_BalAccMaj=0.5744  win_BalAcc=0.5581  win_f1_macro=0.5569
fold0 ep 019  tr=1.5490  val_AccPaper=0.5667  val_BalAccMaj=0.5707  win_BalAcc=0.5592  win_f1_macro=0.5593
fold0 ep 020  tr=1.5432  val_AccPaper=0.5619  val_BalAccMaj=0.5670  win_BalAcc=0.5528  win_f1_macro=0.5520
fold0 ep 021  tr=1.5391  val_AccPaper=0.5615  val_BalAccMaj=0.5667  win_BalAcc=0.5529  win_f1_macro=0.5509
fold0 ep 022  tr=1.5329  val_AccPaper=0.5674  val_BalAccMaj=0.5696  win_BalAcc=0.5570  win_f1_macro=0.5562
