start arm=C2a device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[C2a] §3.2.1 future-perturb ratio=121.565
fold0 ep 001  tr=2.2768  val_AccPaper=0.5081  val_BalAccMaj=0.5122  win_BalAcc=0.5102  win_f1_macro=0.5066
fold0 ep 002  tr=1.9291  val_AccPaper=0.5363  val_BalAccMaj=0.5419  win_BalAcc=0.5320  win_f1_macro=0.5305
fold0 ep 003  tr=1.8497  val_AccPaper=0.5515  val_BalAccMaj=0.5548  win_BalAcc=0.5468  win_f1_macro=0.5472
fold0 ep 004  tr=1.8081  val_AccPaper=0.5530  val_BalAccMaj=0.5567  win_BalAcc=0.5509  win_f1_macro=0.5516
fold0 ep 005  tr=1.7801  val_AccPaper=0.5630  val_BalAccMaj=0.5678  win_BalAcc=0.5554  win_f1_macro=0.5559
fold0 ep 006  tr=1.7595  val_AccPaper=0.5574  val_BalAccMaj=0.5644  win_BalAcc=0.5531  win_f1_macro=0.5529
fold0 ep 007  tr=1.7457  val_AccPaper=0.5663  val_BalAccMaj=0.5711  win_BalAcc=0.5566  win_f1_macro=0.5573
fold0 ep 008  tr=1.7220  val_AccPaper=0.5696  val_BalAccMaj=0.5759  win_BalAcc=0.5623  win_f1_macro=0.5632
fold0 ep 009  tr=1.7080  val_AccPaper=0.5648  val_BalAccMaj=0.5681  win_BalAcc=0.5580  win_f1_macro=0.5590
fold0 ep 010  tr=1.6932  val_AccPaper=0.5685  val_BalAccMaj=0.5741  win_BalAcc=0.5611  win_f1_macro=0.5613
fold0 ep 011  tr=1.6824  val_AccPaper=0.5689  val_BalAccMaj=0.5744  win_BalAcc=0.5571  win_f1_macro=0.5572
fold0 ep 012  tr=1.6715  val_AccPaper=0.5741  val_BalAccMaj=0.5815  win_BalAcc=0.5667  win_f1_macro=0.5674
fold0 ep 013  tr=1.6607  val_AccPaper=0.5719  val_BalAccMaj=0.5774  win_BalAcc=0.5627  win_f1_macro=0.5635
fold0 ep 014  tr=1.6540  val_AccPaper=0.5663  val_BalAccMaj=0.5722  win_BalAcc=0.5606  win_f1_macro=0.5610
fold0 ep 015  tr=1.6505  val_AccPaper=0.5778  val_BalAccMaj=0.5841  win_BalAcc=0.5642  win_f1_macro=0.5649
fold0 ep 016  tr=1.6417  val_AccPaper=0.5759  val_BalAccMaj=0.5811  win_BalAcc=0.5646  win_f1_macro=0.5651
fold0 ep 017  tr=1.6385  val_AccPaper=0.5700  val_BalAccMaj=0.5748  win_BalAcc=0.5614  win_f1_macro=0.5619
fold0 ep 018  tr=1.6321  val_AccPaper=0.5726  val_BalAccMaj=0.5770  win_BalAcc=0.5616  win_f1_macro=0.5620
fold0 ep 019  tr=1.6290  val_AccPaper=0.5704  val_BalAccMaj=0.5752  win_BalAcc=0.5592  win_f1_macro=0.5596
