start arm=U1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[U1] §3.2.1 future-perturb ratio=127.452
fold0 ep 001  tr=2.3751  val_AccPaper=0.5107  val_BalAccMaj=0.5130  win_BalAcc=0.5098  win_f1_macro=0.5023
fold0 ep 002  tr=2.0183  val_AccPaper=0.5422  val_BalAccMaj=0.5474  win_BalAcc=0.5373  win_f1_macro=0.5355
fold0 ep 003  tr=1.9397  val_AccPaper=0.5596  val_BalAccMaj=0.5637  win_BalAcc=0.5468  win_f1_macro=0.5463
fold0 ep 004  tr=1.8874  val_AccPaper=0.5559  val_BalAccMaj=0.5622  win_BalAcc=0.5505  win_f1_macro=0.5512
fold0 ep 005  tr=1.8524  val_AccPaper=0.5607  val_BalAccMaj=0.5656  win_BalAcc=0.5525  win_f1_macro=0.5530
fold0 ep 006  tr=1.8229  val_AccPaper=0.5607  val_BalAccMaj=0.5652  win_BalAcc=0.5547  win_f1_macro=0.5541
fold0 ep 007  tr=1.8095  val_AccPaper=0.5652  val_BalAccMaj=0.5693  win_BalAcc=0.5535  win_f1_macro=0.5538
fold0 ep 008  tr=1.7920  val_AccPaper=0.5667  val_BalAccMaj=0.5707  win_BalAcc=0.5620  win_f1_macro=0.5623
fold0 ep 009  tr=1.7803  val_AccPaper=0.5700  val_BalAccMaj=0.5752  win_BalAcc=0.5631  win_f1_macro=0.5626
fold0 ep 010  tr=1.7649  val_AccPaper=0.5722  val_BalAccMaj=0.5767  win_BalAcc=0.5616  win_f1_macro=0.5618
fold0 ep 011  tr=1.7530  val_AccPaper=0.5711  val_BalAccMaj=0.5767  win_BalAcc=0.5633  win_f1_macro=0.5636
fold0 ep 012  tr=1.7516  val_AccPaper=0.5726  val_BalAccMaj=0.5778  win_BalAcc=0.5651  win_f1_macro=0.5659
fold0 ep 013  tr=1.7458  val_AccPaper=0.5719  val_BalAccMaj=0.5763  win_BalAcc=0.5644  win_f1_macro=0.5651
fold0 ep 014  tr=1.7381  val_AccPaper=0.5711  val_BalAccMaj=0.5759  win_BalAcc=0.5621  win_f1_macro=0.5625
fold0 ep 015  tr=1.7265  val_AccPaper=0.5681  val_BalAccMaj=0.5715  win_BalAcc=0.5583  win_f1_macro=0.5587
fold0 ep 016  tr=1.7182  val_AccPaper=0.5644  val_BalAccMaj=0.5670  win_BalAcc=0.5582  win_f1_macro=0.5580
fold0 ep 017  tr=1.7078  val_AccPaper=0.5707  val_BalAccMaj=0.5763  win_BalAcc=0.5608  win_f1_macro=0.5602
fold0 ep 018  tr=1.7046  val_AccPaper=0.5693  val_BalAccMaj=0.5737  win_BalAcc=0.5590  win_f1_macro=0.5588
fold0 ep 019  tr=1.7033  val_AccPaper=0.5644  val_BalAccMaj=0.5700  win_BalAcc=0.5578  win_f1_macro=0.5584
fold0 ep 020  tr=1.6951  val_AccPaper=0.5604  val_BalAccMaj=0.5681  win_BalAcc=0.5572  win_f1_macro=0.5575
fold0 ep 021  tr=1.6886  val_AccPaper=0.5552  val_BalAccMaj=0.5604  win_BalAcc=0.5554  win_f1_macro=0.5541
fold0 ep 022  tr=1.6808  val_AccPaper=0.5615  val_BalAccMaj=0.5681  win_BalAcc=0.5554  win_f1_macro=0.5550
fold0 ep 023  tr=1.6713  val_AccPaper=0.5574  val_BalAccMaj=0.5633  win_BalAcc=0.5518  win_f1_macro=0.5503
fold0 ep 024  tr=1.6661  val_AccPaper=0.5570  val_BalAccMaj=0.5630  win_BalAcc=0.5522  win_f1_macro=0.5508
fold0 ep 025  tr=1.6640  val_AccPaper=0.5593  val_BalAccMaj=0.5663  win_BalAcc=0.5568  win_f1_macro=0.5560
fold0 ep 026  tr=1.6591  val_AccPaper=0.5622  val_BalAccMaj=0.5652  win_BalAcc=0.5529  win_f1_macro=0.5526
fold0 ep 027  tr=1.6505  val_AccPaper=0.5637  val_BalAccMaj=0.5700  win_BalAcc=0.5587  win_f1_macro=0.5588
fold0 ep 028  tr=1.6515  val_AccPaper=0.5548  val_BalAccMaj=0.5611  win_BalAcc=0.5510  win_f1_macro=0.5509
