start arm=T1_aux device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1_aux] §3.2.1 future-perturb ratio=127.255
fold0 ep 001  tr=3.2971  val_AccPaper=0.7496  val_BalAccMaj=0.7496  win_BalAcc=0.7509  win_f1_macro=0.7446
fold0 ep 002  tr=2.6121  val_AccPaper=0.7522  val_BalAccMaj=0.7522  win_BalAcc=0.7500  win_f1_macro=0.7485
fold0 ep 003  tr=2.4095  val_AccPaper=0.7759  val_BalAccMaj=0.7759  win_BalAcc=0.7701  win_f1_macro=0.7701
fold0 ep 004  tr=2.3084  val_AccPaper=0.7774  val_BalAccMaj=0.7774  win_BalAcc=0.7727  win_f1_macro=0.7725
fold0 ep 005  tr=2.2542  val_AccPaper=0.7800  val_BalAccMaj=0.7800  win_BalAcc=0.7736  win_f1_macro=0.7733
fold0 ep 006  tr=2.2198  val_AccPaper=0.7830  val_BalAccMaj=0.7830  win_BalAcc=0.7734  win_f1_macro=0.7722
fold0 ep 007  tr=2.1952  val_AccPaper=0.7826  val_BalAccMaj=0.7826  win_BalAcc=0.7742  win_f1_macro=0.7742
fold0 ep 008  tr=2.1799  val_AccPaper=0.7841  val_BalAccMaj=0.7841  win_BalAcc=0.7754  win_f1_macro=0.7737
fold0 ep 009  tr=2.1633  val_AccPaper=0.7804  val_BalAccMaj=0.7804  win_BalAcc=0.7753  win_f1_macro=0.7745
fold0 ep 010  tr=2.1470  val_AccPaper=0.7819  val_BalAccMaj=0.7819  win_BalAcc=0.7723  win_f1_macro=0.7701
fold0 ep 011  tr=2.1454  val_AccPaper=0.7822  val_BalAccMaj=0.7822  win_BalAcc=0.7770  win_f1_macro=0.7766
fold0 ep 012  tr=2.1283  val_AccPaper=0.7811  val_BalAccMaj=0.7811  win_BalAcc=0.7737  win_f1_macro=0.7737
fold0 ep 013  tr=2.1181  val_AccPaper=0.7789  val_BalAccMaj=0.7789  win_BalAcc=0.7725  win_f1_macro=0.7725
fold0 ep 014  tr=2.1072  val_AccPaper=0.7844  val_BalAccMaj=0.7844  win_BalAcc=0.7768  win_f1_macro=0.7765
fold0 ep 015  tr=2.0986  val_AccPaper=0.7844  val_BalAccMaj=0.7844  win_BalAcc=0.7760  win_f1_macro=0.7760
fold0 ep 016  tr=2.0912  val_AccPaper=0.7833  val_BalAccMaj=0.7833  win_BalAcc=0.7748  win_f1_macro=0.7748
fold0 ep 017  tr=2.0859  val_AccPaper=0.7819  val_BalAccMaj=0.7819  win_BalAcc=0.7769  win_f1_macro=0.7765
fold0 ep 018  tr=2.0758  val_AccPaper=0.7852  val_BalAccMaj=0.7852  win_BalAcc=0.7761  win_f1_macro=0.7760
fold0 ep 019  tr=2.0739  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7792  win_f1_macro=0.7779
fold0 ep 020  tr=2.0678  val_AccPaper=0.7793  val_BalAccMaj=0.7793  win_BalAcc=0.7750  win_f1_macro=0.7750
fold0 ep 021  tr=2.0651  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7773  win_f1_macro=0.7763
fold0 ep 022  tr=2.0613  val_AccPaper=0.7863  val_BalAccMaj=0.7863  win_BalAcc=0.7797  win_f1_macro=0.7793
fold0 ep 023  tr=2.0498  val_AccPaper=0.7830  val_BalAccMaj=0.7830  win_BalAcc=0.7765  win_f1_macro=0.7764
fold0 ep 024  tr=2.0529  val_AccPaper=0.7815  val_BalAccMaj=0.7815  win_BalAcc=0.7748  win_f1_macro=0.7743
fold0 ep 025  tr=2.0546  val_AccPaper=0.7770  val_BalAccMaj=0.7770  win_BalAcc=0.7714  win_f1_macro=0.7704
fold0 ep 026  tr=2.0552  val_AccPaper=0.7900  val_BalAccMaj=0.7900  win_BalAcc=0.7803  win_f1_macro=0.7803
fold0 ep 027  tr=2.0404  val_AccPaper=0.7889  val_BalAccMaj=0.7889  win_BalAcc=0.7789  win_f1_macro=0.7787
fold0 ep 028  tr=2.0466  val_AccPaper=0.7822  val_BalAccMaj=0.7822  win_BalAcc=0.7770  win_f1_macro=0.7769
fold0 ep 029  tr=2.0403  val_AccPaper=0.7826  val_BalAccMaj=0.7826  win_BalAcc=0.7774  win_f1_macro=0.7760
fold0 ep 030  tr=2.0472  val_AccPaper=0.7841  val_BalAccMaj=0.7841  win_BalAcc=0.7777  win_f1_macro=0.7777
fold0 ep 031  tr=2.0431  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7768  win_f1_macro=0.7766
fold0 ep 032  tr=2.0371  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7802  win_f1_macro=0.7791
fold0 ep 033  tr=2.0376  val_AccPaper=0.7859  val_BalAccMaj=0.7859  win_BalAcc=0.7787  win_f1_macro=0.7787
fold0 ep 034  tr=2.0403  val_AccPaper=0.7896  val_BalAccMaj=0.7896  win_BalAcc=0.7780  win_f1_macro=0.7779
fold0 ep 035  tr=2.0335  val_AccPaper=0.7852  val_BalAccMaj=0.7852  win_BalAcc=0.7786  win_f1_macro=0.7786
fold0 ep 036  tr=2.0329  val_AccPaper=0.7752  val_BalAccMaj=0.7752  win_BalAcc=0.7711  win_f1_macro=0.7710
fold0 ep 037  tr=2.0364  val_AccPaper=0.7852  val_BalAccMaj=0.7852  win_BalAcc=0.7741  win_f1_macro=0.7738
fold0 ep 038  tr=2.0297  val_AccPaper=0.7811  val_BalAccMaj=0.7811  win_BalAcc=0.7747  win_f1_macro=0.7747
fold0 ep 039  tr=2.0325  val_AccPaper=0.7911  val_BalAccMaj=0.7911  win_BalAcc=0.7803  win_f1_macro=0.7802
fold0 ep 040  tr=2.0296  val_AccPaper=0.7863  val_BalAccMaj=0.7863  win_BalAcc=0.7819  win_f1_macro=0.7806
fold0 ep 041  tr=2.0271  val_AccPaper=0.7837  val_BalAccMaj=0.7837  win_BalAcc=0.7766  win_f1_macro=0.7749
fold0 ep 042  tr=2.0269  val_AccPaper=0.7804  val_BalAccMaj=0.7804  win_BalAcc=0.7769  win_f1_macro=0.7768
fold0 ep 043  tr=2.0276  val_AccPaper=0.7878  val_BalAccMaj=0.7878  win_BalAcc=0.7808  win_f1_macro=0.7807
fold0 ep 044  tr=2.0277  val_AccPaper=0.7830  val_BalAccMaj=0.7830  win_BalAcc=0.7744  win_f1_macro=0.7743
fold0 ep 045  tr=2.0271  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7783  win_f1_macro=0.7780
fold0 ep 046  tr=2.0239  val_AccPaper=0.7870  val_BalAccMaj=0.7870  win_BalAcc=0.7796  win_f1_macro=0.7791
fold0 ep 047  tr=2.0234  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7769  win_f1_macro=0.7768
fold0 ep 048  tr=2.0238  val_AccPaper=0.7893  val_BalAccMaj=0.7893  win_BalAcc=0.7806  win_f1_macro=0.7795
fold0 ep 049  tr=2.0237  val_AccPaper=0.7930  val_BalAccMaj=0.7930  win_BalAcc=0.7822  win_f1_macro=0.7821
fold0 ep 050  tr=2.0159  val_AccPaper=0.7870  val_BalAccMaj=0.7870  win_BalAcc=0.7802  win_f1_macro=0.7801
fold0 ep 051  tr=2.0215  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7776  win_f1_macro=0.7775
fold0 ep 052  tr=2.0189  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7771  win_f1_macro=0.7770
fold0 ep 053  tr=2.0220  val_AccPaper=0.7881  val_BalAccMaj=0.7881  win_BalAcc=0.7782  win_f1_macro=0.7778
fold0 ep 054  tr=2.0233  val_AccPaper=0.7885  val_BalAccMaj=0.7885  win_BalAcc=0.7781  win_f1_macro=0.7781
fold0 ep 055  tr=2.0135  val_AccPaper=0.7830  val_BalAccMaj=0.7830  win_BalAcc=0.7762  win_f1_macro=0.7756
fold0 ep 056  tr=2.0128  val_AccPaper=0.7863  val_BalAccMaj=0.7863  win_BalAcc=0.7792  win_f1_macro=0.7785
fold0 ep 057  tr=2.0164  val_AccPaper=0.7874  val_BalAccMaj=0.7874  win_BalAcc=0.7783  win_f1_macro=0.7777
fold0 ep 058  tr=2.0163  val_AccPaper=0.7922  val_BalAccMaj=0.7922  win_BalAcc=0.7788  win_f1_macro=0.7787
fold0 ep 059  tr=2.0090  val_AccPaper=0.7830  val_BalAccMaj=0.7830  win_BalAcc=0.7766  win_f1_macro=0.7752
fold0 ep 060  tr=2.0169  val_AccPaper=0.7841  val_BalAccMaj=0.7841  win_BalAcc=0.7767  win_f1_macro=0.7766
fold0 ep 061  tr=2.0119  val_AccPaper=0.7841  val_BalAccMaj=0.7841  win_BalAcc=0.7779  win_f1_macro=0.7776
fold0 ep 062  tr=2.0119  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7771  win_f1_macro=0.7769
fold0 ep 063  tr=2.0135  val_AccPaper=0.7859  val_BalAccMaj=0.7859  win_BalAcc=0.7768  win_f1_macro=0.7762
fold0 ep 064  tr=2.0158  val_AccPaper=0.7930  val_BalAccMaj=0.7930  win_BalAcc=0.7832  win_f1_macro=0.7826
fold0 ep 065  tr=2.0058  val_AccPaper=0.7785  val_BalAccMaj=0.7785  win_BalAcc=0.7719  win_f1_macro=0.7718
fold0 ep 066  tr=2.0057  val_AccPaper=0.7911  val_BalAccMaj=0.7911  win_BalAcc=0.7810  win_f1_macro=0.7808
fold0 ep 067  tr=2.0057  val_AccPaper=0.7822  val_BalAccMaj=0.7822  win_BalAcc=0.7776  win_f1_macro=0.7769
fold0 ep 068  tr=2.0045  val_AccPaper=0.7885  val_BalAccMaj=0.7885  win_BalAcc=0.7784  win_f1_macro=0.7776
fold0 ep 069  tr=2.0095  val_AccPaper=0.7837  val_BalAccMaj=0.7837  win_BalAcc=0.7774  win_f1_macro=0.7765
fold0 early stop @ ep 69
fold1 ep 001  tr=3.3029  val_AccPaper=0.7593  val_BalAccMaj=0.7593  win_BalAcc=0.7585  win_f1_macro=0.7566
fold1 ep 002  tr=2.6039  val_AccPaper=0.7522  val_BalAccMaj=0.7522  win_BalAcc=0.7497  win_f1_macro=0.7378
fold1 ep 003  tr=2.4113  val_AccPaper=0.7652  val_BalAccMaj=0.7652  win_BalAcc=0.7620  win_f1_macro=0.7560
fold1 ep 004  tr=2.3194  val_AccPaper=0.7656  val_BalAccMaj=0.7656  win_BalAcc=0.7648  win_f1_macro=0.7566
fold1 ep 005  tr=2.2701  val_AccPaper=0.7659  val_BalAccMaj=0.7659  win_BalAcc=0.7605  win_f1_macro=0.7511
fold1 ep 006  tr=2.2476  val_AccPaper=0.7819  val_BalAccMaj=0.7819  win_BalAcc=0.7716  win_f1_macro=0.7691
fold1 ep 007  tr=2.2281  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7757  win_f1_macro=0.7726
fold1 ep 008  tr=2.2131  val_AccPaper=0.7796  val_BalAccMaj=0.7796  win_BalAcc=0.7742  win_f1_macro=0.7726
fold1 ep 009  tr=2.2059  val_AccPaper=0.7785  val_BalAccMaj=0.7785  win_BalAcc=0.7710  win_f1_macro=0.7659
fold1 ep 010  tr=2.1923  val_AccPaper=0.7815  val_BalAccMaj=0.7815  win_BalAcc=0.7734  win_f1_macro=0.7692
fold1 ep 011  tr=2.1808  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7768  win_f1_macro=0.7738
fold1 ep 012  tr=2.1692  val_AccPaper=0.7759  val_BalAccMaj=0.7759  win_BalAcc=0.7712  win_f1_macro=0.7685
fold1 ep 013  tr=2.1605  val_AccPaper=0.7844  val_BalAccMaj=0.7844  win_BalAcc=0.7758  win_f1_macro=0.7734
fold1 ep 014  tr=2.1452  val_AccPaper=0.7874  val_BalAccMaj=0.7874  win_BalAcc=0.7787  win_f1_macro=0.7763
fold1 ep 015  tr=2.1328  val_AccPaper=0.7781  val_BalAccMaj=0.7781  win_BalAcc=0.7712  win_f1_macro=0.7690
fold1 ep 016  tr=2.1391  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7760  win_f1_macro=0.7735
fold1 ep 017  tr=2.1257  val_AccPaper=0.7900  val_BalAccMaj=0.7900  win_BalAcc=0.7785  win_f1_macro=0.7762
fold1 ep 018  tr=2.1243  val_AccPaper=0.7833  val_BalAccMaj=0.7833  win_BalAcc=0.7740  win_f1_macro=0.7727
fold1 ep 019  tr=2.1257  val_AccPaper=0.7741  val_BalAccMaj=0.7741  win_BalAcc=0.7687  win_f1_macro=0.7630
fold1 ep 020  tr=2.1169  val_AccPaper=0.7741  val_BalAccMaj=0.7741  win_BalAcc=0.7686  win_f1_macro=0.7645
fold1 ep 021  tr=2.1116  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7767  win_f1_macro=0.7742
