start arm=T1_128 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1_128] §3.2.1 future-perturb ratio=132.644
fold0 ep 001  tr=2.4293  val_AccPaper=0.7833  val_BalAccMaj=0.7833  win_BalAcc=0.7767  win_f1_macro=0.7765
fold0 ep 002  tr=2.1933  val_AccPaper=0.7844  val_BalAccMaj=0.7844  win_BalAcc=0.7778  win_f1_macro=0.7778
fold0 ep 003  tr=2.1289  val_AccPaper=0.7741  val_BalAccMaj=0.7741  win_BalAcc=0.7719  win_f1_macro=0.7696
fold0 ep 004  tr=2.0811  val_AccPaper=0.7811  val_BalAccMaj=0.7811  win_BalAcc=0.7755  win_f1_macro=0.7727
fold0 ep 005  tr=2.0588  val_AccPaper=0.7893  val_BalAccMaj=0.7893  win_BalAcc=0.7800  win_f1_macro=0.7791
fold0 ep 006  tr=2.0401  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7774  win_f1_macro=0.7774
fold0 ep 007  tr=2.0237  val_AccPaper=0.7726  val_BalAccMaj=0.7726  win_BalAcc=0.7707  win_f1_macro=0.7702
fold0 ep 008  tr=2.0099  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7793  win_f1_macro=0.7771
fold0 ep 009  tr=1.9927  val_AccPaper=0.7815  val_BalAccMaj=0.7815  win_BalAcc=0.7755  win_f1_macro=0.7739
fold0 ep 010  tr=1.9841  val_AccPaper=0.7922  val_BalAccMaj=0.7922  win_BalAcc=0.7792  win_f1_macro=0.7768
fold0 ep 011  tr=1.9765  val_AccPaper=0.7693  val_BalAccMaj=0.7693  win_BalAcc=0.7695  win_f1_macro=0.7685
fold0 ep 012  tr=1.9670  val_AccPaper=0.7689  val_BalAccMaj=0.7689  win_BalAcc=0.7653  win_f1_macro=0.7636
fold0 ep 013  tr=1.9623  val_AccPaper=0.7807  val_BalAccMaj=0.7807  win_BalAcc=0.7754  win_f1_macro=0.7754
fold0 ep 014  tr=1.9453  val_AccPaper=0.7737  val_BalAccMaj=0.7737  win_BalAcc=0.7708  win_f1_macro=0.7702
fold0 ep 015  tr=1.9371  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7747  win_f1_macro=0.7724
fold0 ep 016  tr=1.9330  val_AccPaper=0.7737  val_BalAccMaj=0.7737  win_BalAcc=0.7683  win_f1_macro=0.7642
fold0 ep 017  tr=1.9253  val_AccPaper=0.7733  val_BalAccMaj=0.7733  win_BalAcc=0.7702  win_f1_macro=0.7702
