start arm=T1 device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1] §3.2.1 future-perturb ratio=112.016
fold0 ep 001  tr=3.4427  val_AccPaper=0.5237  val_BalAccMaj=0.5274  win_BalAcc=0.5195  win_f1_macro=0.5169
fold0 ep 002  tr=2.9200  val_AccPaper=0.5478  val_BalAccMaj=0.5515  win_BalAcc=0.5393  win_f1_macro=0.5368
fold0 ep 003  tr=2.7419  val_AccPaper=0.5444  val_BalAccMaj=0.5500  win_BalAcc=0.5394  win_f1_macro=0.5366
fold0 ep 004  tr=2.6702  val_AccPaper=0.5530  val_BalAccMaj=0.5578  win_BalAcc=0.5458  win_f1_macro=0.5435
fold0 ep 005  tr=2.6246  val_AccPaper=0.5511  val_BalAccMaj=0.5563  win_BalAcc=0.5527  win_f1_macro=0.5538
fold0 ep 006  tr=2.6013  val_AccPaper=0.5522  val_BalAccMaj=0.5593  win_BalAcc=0.5505  win_f1_macro=0.5500
fold0 ep 007  tr=2.5882  val_AccPaper=0.5589  val_BalAccMaj=0.5637  win_BalAcc=0.5529  win_f1_macro=0.5532
fold0 ep 008  tr=2.5729  val_AccPaper=0.5581  val_BalAccMaj=0.5637  win_BalAcc=0.5553  win_f1_macro=0.5558
fold0 ep 009  tr=2.5640  val_AccPaper=0.5589  val_BalAccMaj=0.5637  win_BalAcc=0.5546  win_f1_macro=0.5554
fold0 ep 010  tr=2.5508  val_AccPaper=0.5552  val_BalAccMaj=0.5600  win_BalAcc=0.5559  win_f1_macro=0.5571
fold0 ep 011  tr=2.5491  val_AccPaper=0.5581  val_BalAccMaj=0.5633  win_BalAcc=0.5530  win_f1_macro=0.5532
fold0 ep 012  tr=2.5360  val_AccPaper=0.5563  val_BalAccMaj=0.5619  win_BalAcc=0.5546  win_f1_macro=0.5550
fold0 ep 013  tr=2.5300  val_AccPaper=0.5615  val_BalAccMaj=0.5670  win_BalAcc=0.5540  win_f1_macro=0.5540
fold0 ep 014  tr=2.5208  val_AccPaper=0.5637  val_BalAccMaj=0.5674  win_BalAcc=0.5588  win_f1_macro=0.5596
fold0 ep 015  tr=2.5142  val_AccPaper=0.5615  val_BalAccMaj=0.5652  win_BalAcc=0.5576  win_f1_macro=0.5587
