start scheme21 arm=F_mi_a n_times=1000 t0_max=1.0 two_stage=None inwin=None
fold0 ep 001  tr=1.1871  val_AccPaper=0.4633  val_BalAccMaj=0.4641
fold0 ep 002  tr=1.0543  val_AccPaper=0.5219  val_BalAccMaj=0.5222
fold0 ep 003  tr=0.9862  val_AccPaper=0.5452  val_BalAccMaj=0.5459
fold0 ep 004  tr=0.9511  val_AccPaper=0.5363  val_BalAccMaj=0.5374
fold0 ep 005  tr=0.9219  val_AccPaper=0.5352  val_BalAccMaj=0.5356
fold0 ep 006  tr=0.9083  val_AccPaper=0.5459  val_BalAccMaj=0.5459
fold0 ep 007  tr=0.9018  val_AccPaper=0.5526  val_BalAccMaj=0.5530
fold0 ep 008  tr=0.8893  val_AccPaper=0.5563  val_BalAccMaj=0.5570
fold0 ep 009  tr=0.8869  val_AccPaper=0.5567  val_BalAccMaj=0.5570
fold0 ep 010  tr=0.8790  val_AccPaper=0.5570  val_BalAccMaj=0.5574
fold0 ep 011  tr=0.8706  val_AccPaper=0.5600  val_BalAccMaj=0.5615
fold0 ep 012  tr=0.8672  val_AccPaper=0.5526  val_BalAccMaj=0.5530
fold0 ep 013  tr=0.8655  val_AccPaper=0.5152  val_BalAccMaj=0.5163
fold0 ep 014  tr=0.8596  val_AccPaper=0.5552  val_BalAccMaj=0.5563
fold0 ep 015  tr=0.8571  val_AccPaper=0.5589  val_BalAccMaj=0.5596
fold0 ep 016  tr=0.8511  val_AccPaper=0.5522  val_BalAccMaj=0.5522
fold0 ep 017  tr=0.8458  val_AccPaper=0.5296  val_BalAccMaj=0.5296
fold0 ep 018  tr=0.8518  val_AccPaper=0.5533  val_BalAccMaj=0.5537
fold0 ep 019  tr=0.8467  val_AccPaper=0.5533  val_BalAccMaj=0.5544
fold0 ep 020  tr=0.8453  val_AccPaper=0.5507  val_BalAccMaj=0.5519
fold0 ep 021  tr=0.8426  val_AccPaper=0.5533  val_BalAccMaj=0.5544
fold0 ep 022  tr=0.8361  val_AccPaper=0.5541  val_BalAccMaj=0.5548
fold0 ep 023  tr=0.8376  val_AccPaper=0.5693  val_BalAccMaj=0.5707
fold0 ep 024  tr=0.8314  val_AccPaper=0.5667  val_BalAccMaj=0.5674
fold0 ep 025  tr=0.8356  val_AccPaper=0.5659  val_BalAccMaj=0.5678
fold0 ep 026  tr=0.8291  val_AccPaper=0.5785  val_BalAccMaj=0.5789
fold0 ep 027  tr=0.8329  val_AccPaper=0.5711  val_BalAccMaj=0.5719
fold0 ep 028  tr=0.8300  val_AccPaper=0.5544  val_BalAccMaj=0.5552
fold0 ep 029  tr=0.8265  val_AccPaper=0.5644  val_BalAccMaj=0.5652
fold0 ep 030  tr=0.8259  val_AccPaper=0.5700  val_BalAccMaj=0.5704
fold0 ep 031  tr=0.8220  val_AccPaper=0.5578  val_BalAccMaj=0.5585
fold0 ep 032  tr=0.8214  val_AccPaper=0.5581  val_BalAccMaj=0.5585
fold0 ep 033  tr=0.8182  val_AccPaper=0.5641  val_BalAccMaj=0.5659
fold0 ep 034  tr=0.8234  val_AccPaper=0.5456  val_BalAccMaj=0.5459
fold0 ep 035  tr=0.8164  val_AccPaper=0.5611  val_BalAccMaj=0.5611
fold0 ep 036  tr=0.8152  val_AccPaper=0.5670  val_BalAccMaj=0.5678
fold0 ep 037  tr=0.8177  val_AccPaper=0.5719  val_BalAccMaj=0.5726
fold0 ep 038  tr=0.8176  val_AccPaper=0.5544  val_BalAccMaj=0.5548
fold0 ep 039  tr=0.8057  val_AccPaper=0.5644  val_BalAccMaj=0.5652
fold0 ep 040  tr=0.8049  val_AccPaper=0.5648  val_BalAccMaj=0.5663
fold0 ep 041  tr=0.8106  val_AccPaper=0.5700  val_BalAccMaj=0.5711
fold0 ep 042  tr=0.8086  val_AccPaper=0.5530  val_BalAccMaj=0.5544
fold0 ep 043  tr=0.8098  val_AccPaper=0.5541  val_BalAccMaj=0.5556
fold0 ep 044  tr=0.8047  val_AccPaper=0.5570  val_BalAccMaj=0.5578
fold0 ep 045  tr=0.8011  val_AccPaper=0.5681  val_BalAccMaj=0.5693
fold0 ep 046  tr=0.8015  val_AccPaper=0.5585  val_BalAccMaj=0.5600
