start scheme21 arm=F_mi_080 n_times=800 t0_max=1.2 two_stage=None inwin=None
fold0 ep 001  tr=1.2906  val_AccPaper=0.4844  val_BalAccMaj=0.4852
fold0 ep 002  tr=1.1494  val_AccPaper=0.5230  val_BalAccMaj=0.5233
fold0 ep 003  tr=1.0819  val_AccPaper=0.5422  val_BalAccMaj=0.5433
fold0 ep 004  tr=1.0389  val_AccPaper=0.5448  val_BalAccMaj=0.5459
fold0 ep 005  tr=1.0232  val_AccPaper=0.5615  val_BalAccMaj=0.5622
fold0 ep 006  tr=1.0025  val_AccPaper=0.5467  val_BalAccMaj=0.5474
fold0 ep 007  tr=0.9914  val_AccPaper=0.5589  val_BalAccMaj=0.5600
fold0 ep 008  tr=0.9807  val_AccPaper=0.5633  val_BalAccMaj=0.5644
fold0 ep 009  tr=0.9703  val_AccPaper=0.5600  val_BalAccMaj=0.5607
fold0 ep 010  tr=0.9658  val_AccPaper=0.5641  val_BalAccMaj=0.5659
fold0 ep 011  tr=0.9620  val_AccPaper=0.5615  val_BalAccMaj=0.5626
fold0 ep 012  tr=0.9515  val_AccPaper=0.5589  val_BalAccMaj=0.5604
fold0 ep 013  tr=0.9501  val_AccPaper=0.5726  val_BalAccMaj=0.5737
fold0 ep 014  tr=0.9455  val_AccPaper=0.5600  val_BalAccMaj=0.5619
fold0 ep 015  tr=0.9382  val_AccPaper=0.5548  val_BalAccMaj=0.5563
fold0 ep 016  tr=0.9418  val_AccPaper=0.5596  val_BalAccMaj=0.5604
fold0 ep 017  tr=0.9325  val_AccPaper=0.5585  val_BalAccMaj=0.5596
fold0 ep 018  tr=0.9318  val_AccPaper=0.5663  val_BalAccMaj=0.5685
fold0 ep 019  tr=0.9287  val_AccPaper=0.5604  val_BalAccMaj=0.5615
fold0 ep 020  tr=0.9299  val_AccPaper=0.5526  val_BalAccMaj=0.5541
fold0 ep 021  tr=0.9225  val_AccPaper=0.5596  val_BalAccMaj=0.5611
fold0 ep 022  tr=0.9268  val_AccPaper=0.5585  val_BalAccMaj=0.5596
fold0 ep 023  tr=0.9163  val_AccPaper=0.5478  val_BalAccMaj=0.5496
fold0 ep 024  tr=0.9133  val_AccPaper=0.5496  val_BalAccMaj=0.5507
fold0 ep 025  tr=0.9098  val_AccPaper=0.5489  val_BalAccMaj=0.5500
fold0 ep 026  tr=0.9127  val_AccPaper=0.5478  val_BalAccMaj=0.5496
fold0 ep 027  tr=0.9059  val_AccPaper=0.5474  val_BalAccMaj=0.5485
fold0 ep 028  tr=0.9081  val_AccPaper=0.5504  val_BalAccMaj=0.5515
fold0 ep 029  tr=0.9053  val_AccPaper=0.5519  val_BalAccMaj=0.5533
fold0 ep 030  tr=0.9031  val_AccPaper=0.5389  val_BalAccMaj=0.5400
fold0 ep 031  tr=0.9023  val_AccPaper=0.5467  val_BalAccMaj=0.5478
fold0 ep 032  tr=0.8992  val_AccPaper=0.5552  val_BalAccMaj=0.5552
fold0 ep 033  tr=0.8990  val_AccPaper=0.5544  val_BalAccMaj=0.5552
fold1 ep 001  tr=1.3064  val_AccPaper=0.5633  val_BalAccMaj=0.5652
fold1 ep 002  tr=1.1881  val_AccPaper=0.5726  val_BalAccMaj=0.5741
fold1 ep 003  tr=1.1241  val_AccPaper=0.5819  val_BalAccMaj=0.5837
fold1 ep 004  tr=1.0835  val_AccPaper=0.5844  val_BalAccMaj=0.5867
fold1 ep 005  tr=1.0580  val_AccPaper=0.5781  val_BalAccMaj=0.5796
fold1 ep 006  tr=1.0368  val_AccPaper=0.5815  val_BalAccMaj=0.5844
fold1 ep 007  tr=1.0214  val_AccPaper=0.5819  val_BalAccMaj=0.5830
fold1 ep 008  tr=1.0119  val_AccPaper=0.5789  val_BalAccMaj=0.5796
fold1 ep 009  tr=1.0043  val_AccPaper=0.5833  val_BalAccMaj=0.5844
fold1 ep 010  tr=0.9943  val_AccPaper=0.5726  val_BalAccMaj=0.5752
fold1 ep 011  tr=0.9903  val_AccPaper=0.5807  val_BalAccMaj=0.5826
fold1 ep 012  tr=0.9825  val_AccPaper=0.5937  val_BalAccMaj=0.5956
fold1 ep 013  tr=0.9817  val_AccPaper=0.5756  val_BalAccMaj=0.5763
fold1 ep 014  tr=0.9770  val_AccPaper=0.5726  val_BalAccMaj=0.5744
fold1 ep 015  tr=0.9715  val_AccPaper=0.5670  val_BalAccMaj=0.5689
fold1 ep 016  tr=0.9741  val_AccPaper=0.5770  val_BalAccMaj=0.5796
fold1 ep 017  tr=0.9684  val_AccPaper=0.5844  val_BalAccMaj=0.5874
fold1 ep 018  tr=0.9663  val_AccPaper=0.5733  val_BalAccMaj=0.5752
fold1 ep 019  tr=0.9570  val_AccPaper=0.5748  val_BalAccMaj=0.5781
fold1 ep 020  tr=0.9606  val_AccPaper=0.5833  val_BalAccMaj=0.5856
