start scheme21 arm=J1_tok n_times=1000 t0_max=None two_stage=None inwin=True
fold0 ep 001  tr=1.7618  val_AccPaper=0.5137  val_BalAccMaj=0.5189
fold0 ep 002  tr=1.5111  val_AccPaper=0.5419  val_BalAccMaj=0.5448
fold0 ep 003  tr=1.4018  val_AccPaper=0.5537  val_BalAccMaj=0.5574
fold0 ep 004  tr=1.3408  val_AccPaper=0.5500  val_BalAccMaj=0.5537
fold0 ep 005  tr=1.3144  val_AccPaper=0.5511  val_BalAccMaj=0.5541
fold0 ep 006  tr=1.2983  val_AccPaper=0.5570  val_BalAccMaj=0.5604
fold0 ep 007  tr=1.2818  val_AccPaper=0.5559  val_BalAccMaj=0.5615
fold0 ep 008  tr=1.2685  val_AccPaper=0.5593  val_BalAccMaj=0.5637
fold0 ep 009  tr=1.2603  val_AccPaper=0.5544  val_BalAccMaj=0.5581
fold0 ep 010  tr=1.2514  val_AccPaper=0.5596  val_BalAccMaj=0.5656
fold0 ep 011  tr=1.2433  val_AccPaper=0.5607  val_BalAccMaj=0.5656
fold0 ep 012  tr=1.2356  val_AccPaper=0.5567  val_BalAccMaj=0.5626
fold0 ep 013  tr=1.2319  val_AccPaper=0.5663  val_BalAccMaj=0.5726
fold0 ep 014  tr=1.2261  val_AccPaper=0.5644  val_BalAccMaj=0.5693
fold0 ep 015  tr=1.2195  val_AccPaper=0.5667  val_BalAccMaj=0.5711
fold0 ep 016  tr=1.2161  val_AccPaper=0.5596  val_BalAccMaj=0.5641
fold0 ep 017  tr=1.2121  val_AccPaper=0.5641  val_BalAccMaj=0.5685
fold0 ep 018  tr=1.2078  val_AccPaper=0.5652  val_BalAccMaj=0.5696
fold0 ep 019  tr=1.2046  val_AccPaper=0.5626  val_BalAccMaj=0.5663
fold0 ep 020  tr=1.2001  val_AccPaper=0.5630  val_BalAccMaj=0.5681
fold0 ep 021  tr=1.1979  val_AccPaper=0.5633  val_BalAccMaj=0.5678
fold0 ep 022  tr=1.1956  val_AccPaper=0.5670  val_BalAccMaj=0.5693
fold0 ep 023  tr=1.1913  val_AccPaper=0.5615  val_BalAccMaj=0.5674
