trial_id,phase,learn_step,label,object,scene,rejected,t_trial_start,t_fixation,t_cue,t_mi_start,t_mi_end,t_rest_start,t_rest_end,t_transition,t_trial_end,mi_dur,rest_dur
1,adapt,,2,cup,home_desk,0,305001.6285118,305001.6287898,305003.6300339,305005.6318935,305009.632309,305010.6337762,305014.6341065,305014.6353671,305017.6354559,4.000415500020608,4.000330300012138
2,adapt,,1,cup,home_desk,0,305017.6371662,305017.6382976,305019.6396707,305021.640258,305025.6408499,305026.6439754,305030.6448163,305030.6459967,305033.6461653,4.000591900025029,4.000840900000185
3,acquire,,2,bottle,home_desk,0,305033.6489772,305033.649789,305035.6510112,305037.6528988,305041.6534672,305042.6560123,305046.6564388,305046.6572971,305049.6577386,4.000568400020711,4.000426499987952
4,acquire,,1,bottle,home_desk,0,305049.659178,305049.6597049,305051.6625541,305053.664144,305057.6644408,305058.6681958,305062.6686506,305062.6697781,305065.6700159,4.0002968000480905,4.00045480002882
5,acquire,,1,apple,home_desk,0,305065.6728771,305065.6734722,305067.675022,305069.6761008,305073.6766203,305074.678082,305078.6786858,305078.6792354,305081.6796755,4.000519499997608,4.000603799999226
6,acquire,,2,apple,home_desk,0,305081.6815072,305081.6820671,305083.683548,305085.6848206,305089.685198,305090.6873388,305094.6877457,305094.6889147,305097.6893972,4.000377399963327,4.000406900013331
7,acquire,,1,cup,home_desk,0,305097.6912318,305097.6917915,305099.692819,305101.693391,305105.6939822,305106.6959499,305110.6969603,305110.6983488,305113.6988063,4.000591200019699,4.001010399952065
8,acquire,,2,cup,home_desk,0,305113.6998287,305113.7002302,305115.7010282,305117.7026385,305121.7030963,305122.7056548,305126.7062062,305126.7070294,305129.7076632,4.000457799993455,4.00055140000768
101,learn,,1,cup,home_desk,0,304894.7766184,304894.7770034,304896.7784844,304898.7802074,304902.7804131,304903.7823856,304907.7828924,304907.7836237,304910.7839367,4.000205699994694,4.00050680001732
102,learn,,2,cup,home_desk,0,304910.7854195,304910.7859805,304912.787054,304914.788318,304918.7888681,304919.7908823,304923.791367,304923.7929542,304926.7940227,4.000550099997781,4.000484700023662
201,learn,,2,cup,home_desk,0,304928.6708956,304928.6712871,304930.6723518,304932.673529,304936.673689,304937.6764221,304941.6767179,304941.6777405,304944.6780553,4.000159999995958,4.000295799982268
202,learn,,1,cup,home_desk,0,304944.6799572,304944.6806497,304946.6814073,304948.6826388,304952.6832756,304953.6859935,304957.6864199,304957.6875527,304960.6876462,4.0006368000176735,4.000426399987191
301,learn,,2,cup,home_desk,0,304964.0559204,304964.0562634,304966.0574352,304968.0595129,304972.0596804,304973.0615481,304977.0617385,304977.0626297,304980.0631665,4.000167499994859,4.000190399994608
302,learn,,1,cup,home_desk,0,304980.0642282,304980.0648893,304982.0664055,304984.0675417,304988.0680882,304989.0704483,304993.0707757,304993.0719174,304996.072545,4.000546500028577,4.000327399990056
