lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
313309.05335815734,237.77085876464844,-187.28573608398438,-207.05091857910156,-337.1024169921875,128.8699493408203,291.5458679199219,144.55140686035156,-480.1065673828125
313309.0573581573,237.30422973632812,-187.33619689941406,-207.1143798828125,-337.1358947753906,128.73605346679688,291.3929748535156,144.32408142089844,-480.1919860839844
313309.0613581573,239.59640502929688,-184.86416625976562,-204.6338653564453,-334.4815368652344,131.07667541503906,293.7820739746094,146.83807373046875,-477.90582275390625
313309.0653581573,240.9268341064453,-183.9608917236328,-203.68661499023438,-333.519287109375,132.11634826660156,294.9436340332031,148.0121307373047,-477.05950927734375
313309.06935815734,239.90115356445312,-185.40274047851562,-205.08799743652344,-334.8826904296875,130.91131591796875,293.9554443359375,146.7416534423828,-478.4464111328125
313309.0733581573,238.15505981445312,-187.4521026611328,-207.1823272705078,-336.94854736328125,128.88893127441406,292.02947998046875,144.7537384033203,-480.4302978515625
313309.0773581573,237.71839904785156,-187.65443420410156,-207.37367248535156,-337.0085144042969,128.56069946289062,291.7257080078125,144.42750549316406,-480.7010803222656
313309.08135815733,239.49148559570312,-185.39125061035156,-205.1554412841797,-334.6818542480469,130.5511016845703,293.63818359375,146.55030822753906,-478.56329345703125
313309.08535815735,240.54913330078125,-184.41651916503906,-204.21519470214844,-333.7950744628906,131.52532958984375,294.5469665527344,147.60696411132812,-477.57110595703125
313309.0893581573,239.67483520507812,-185.5146484375,-205.3367919921875,-334.9591369628906,130.7759246826172,293.8800048828125,146.4598846435547,-478.6477355957031
313309.0933581573,237.9512176513672,-187.5220489501953,-207.34469604492188,-337.0149841308594,128.88792419433594,291.9580383300781,144.43849182128906,-480.6141662597656
313309.09735815733,237.40264892578125,-187.78134155273438,-207.6229705810547,-337.2732849121094,128.4282989501953,291.364501953125,144.04031372070312,-480.909912109375
313309.1013581573,239.34060668945312,-185.27734375,-205.17942810058594,-334.78826904296875,130.65951538085938,293.4923095703125,146.34996032714844,-478.51483154296875
313309.1053581573,240.41224670410156,-184.22567749023438,-204.1407470703125,-333.82904052734375,131.7406463623047,294.50347900390625,147.42510986328125,-477.4501953125
313309.1093581573,239.6268768310547,-185.51715087890625,-205.34129333496094,-335.049072265625,130.63253784179688,293.5637512207031,146.4059295654297,-478.6727294921875
313309.11335815734,237.88426208496094,-187.7053985595703,-207.47459411621094,-337.28228759765625,128.63763427734375,291.6397705078125,144.4290008544922,-480.8059997558594
313309.1173581573,237.70391845703125,-187.63694763183594,-207.3496856689453,-337.1124267578125,128.60415649414062,291.58331298828125,144.4110107421875,-480.70159912109375
313309.1213581573,239.85719299316406,-184.9081268310547,-204.66732788085938,-334.35211181640625,131.07818603515625,293.8699951171875,146.90402221679688,-478.0447082519531
313309.12535815727,240.83091735839844,-183.97137451171875,-203.7115936279297,-333.3594055175781,132.0274200439453,294.7967529296875,147.84727478027344,-476.987060546875
313309.1293581573,239.8222198486328,-185.2703399658203,-204.9720916748047,-334.596435546875,130.79690551757812,293.5252685546875,146.6057586669922,-478.0697021484375
313309.1333581573,237.94772338867188,-187.2747344970703,-207.00546264648438,-336.67926025390625,129.0637969970703,291.8331298828125,144.50144958496094,-480.0291442871094
313309.1373581573,237.2542724609375,-187.42811584472656,-207.2117919921875,-336.8471374511719,128.7840118408203,291.50439453125,144.0423126220703,-480.24444580078125
313309.14135815727,239.404052734375,-184.90963745117188,-204.7042999267578,-334.1827697753906,130.98526000976562,293.6936340332031,146.44639587402344,-477.78643798828125
313309.1453581573,240.5281524658203,-183.79852294921875,-203.5941925048828,-333.0326843261719,132.05589294433594,294.82122802734375,147.5864715576172,-476.57440185546875
313309.1493581573,239.50196838378906,-185.22288513183594,-204.9665985107422,-334.46453857421875,130.69598388671875,293.4778137207031,146.33847045898438,-477.8523864746094
313309.1533581573,237.6654510498047,-187.2782440185547,-207.04293823242188,-336.62530517578125,128.70358276367188,291.514892578125,144.32508850097656,-479.8582763671875
313309.1573581573,237.22329711914062,-187.35867309570312,-207.14634704589844,-336.6512756347656,128.43128967285156,291.2251281738281,144.08277893066406,-479.9896545410156
313309.1613581573,239.26866149902344,-184.8177032470703,-204.67433166503906,-334.0958251953125,130.67100524902344,293.42486572265625,146.47337341308594,-477.55511474609375
313309.1653581573,240.43173217773438,-183.7850341796875,-203.65264892578125,-333.0981140136719,131.776123046875,294.5959167480469,147.61045837402344,-476.4959411621094
