lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
315887.4069144802,-633.4674072265625,-1199.345458984375,-1058.26171875,-1103.484619140625,-1038.335205078125,-642.9498291015625,-1233.408203125,-1445.1043701171875
315887.4109144802,-632.934326171875,-1199.561279296875,-1058.5054931640625,-1103.678466796875,-1037.5323486328125,-641.5164794921875,-1233.994140625,-1445.0718994140625
315887.41491448024,-642.8389282226562,-1209.98388671875,-1069.4168701171875,-1114.218505859375,-1046.978759765625,-650.2529907226562,-1244.98291015625,-1455.2657470703125
315887.41891448025,-647.9343872070312,-1214.7640380859375,-1074.2794189453125,-1118.958251953125,-1052.20556640625,-655.6571655273438,-1249.603271484375,-1460.1893310546875
315887.4229144802,-642.5911254882812,-1208.8427734375,-1068.1353759765625,-1112.8770751953125,-1047.22705078125,-651.2796630859375,-1243.2298583984375,-1454.4793701171875
315887.4269144802,-633.0862426757812,-1199.07958984375,-1057.9744873046875,-1103.021484375,-1038.0533447265625,-642.5906372070312,-1233.0,-1444.7476806640625
315887.43091448024,-632.825439453125,-1199.490234375,-1058.402099609375,-1103.4190673828125,-1037.46533203125,-641.4265747070312,-1233.7034912109375,-1444.818115234375
315887.43491448025,-642.890380859375,-1209.9423828125,-1069.3533935546875,-1114.0211181640625,-1046.914794921875,-650.195068359375,-1244.8065185546875,-1455.055908203125
315887.4389144802,-647.7239990234375,-1214.46728515625,-1073.961181640625,-1118.530517578125,-1051.8782958984375,-655.3329467773438,-1249.2755126953125,-1459.76220703125
315887.4429144802,-642.6166381835938,-1208.983154296875,-1068.19775390625,-1112.906005859375,-1047.310546875,-651.2377319335938,-1243.357666015625,-1454.5877685546875
315887.44691448024,-633.1786499023438,-1199.410400390625,-1058.2122802734375,-1103.3197021484375,-1038.32763671875,-642.6441040039062,-1233.4066162109375,-1445.17138671875
315887.45091448026,-633.1177368164062,-1199.9788818359375,-1058.81982421875,-1103.95068359375,-1037.886474609375,-641.6898803710938,-1234.3184814453125,-1445.422119140625
315887.4549144802,-643.0492553710938,-1210.233642578125,-1069.5926513671875,-1114.4052734375,-1047.1571044921875,-650.3914184570312,-1245.1688232421875,-1455.421630859375
315887.45891448023,-647.6546020507812,-1214.347412109375,-1073.8272705078125,-1118.4940185546875,-1051.741943359375,-655.2774658203125,-1249.1666259765625,-1459.63330078125
315887.46291448025,-642.2084350585938,-1208.2132568359375,-1067.5223388671875,-1112.419921875,-1046.6634521484375,-650.9209594726562,-1242.560791015625,-1453.7030029296875
