lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
316013.79491448327,-656.0064086914062,-1228.2103271484375,-1095.145263671875,-1163.3707275390625,-1071.2427978515625,-663.7886962890625,-1322.5628662109375,-1513.08203125
316013.7989144833,-651.531982421875,-1223.8873291015625,-1090.8531494140625,-1159.090087890625,-1066.7923583984375,-659.25732421875,-1318.1959228515625,-1508.694580078125
316013.8029144833,-655.5812377929688,-1229.3009033203125,-1096.01806640625,-1164.3424072265625,-1070.9600830078125,-662.2833862304688,-1323.761962890625,-1513.889892578125
316013.80691448326,-661.1577758789062,-1235.2557373046875,-1101.8133544921875,-1170.212646484375,-1076.5435791015625,-667.5167236328125,-1329.797607421875,-1519.881591796875
316013.81091448327,-661.3685913085938,-1234.6236572265625,-1101.30029296875,-1169.66015625,-1076.6939697265625,-668.3575439453125,-1329.0706787109375,-1519.4459228515625
316013.8149144833,-656.650390625,-1229.129638671875,-1095.9395751953125,-1164.2694091796875,-1072.042236328125,-664.420654296875,-1323.420166015625,-1514.09619140625
316013.8189144833,-651.8572387695312,-1224.5162353515625,-1091.341796875,-1159.6331787109375,-1067.3194580078125,-659.60205078125,-1318.7579345703125,-1509.3759765625
316013.82291448326,-655.0247192382812,-1228.9267578125,-1095.5604248046875,-1163.8367919921875,-1070.48046875,-661.6888427734375,-1323.4251708984375,-1513.5611572265625
316013.8269144833,-661.0763549804688,-1235.186767578125,-1101.7445068359375,-1170.1387939453125,-1076.4337158203125,-667.4168090820312,-1329.81005859375,-1519.7882080078125
316013.8309144833,-661.554443359375,-1234.7236328125,-1101.4112548828125,-1169.83056640625,-1076.8123779296875,-668.5858764648438,-1329.1845703125,-1519.4334716796875
316013.8349144833,-656.3241577148438,-1228.6484375,-1095.514404296875,-1163.896240234375,-1071.632568359375,-664.1574096679688,-1322.9285888671875,-1513.4947509765625
316013.83891448326,-652.1119995117188,-1224.585693359375,-1091.482177734375,-1159.824462890625,-1067.4498291015625,-659.893310546875,-1318.848876953125,-1509.3685302734375
316013.8429144833,-655.389404296875,-1229.304931640625,-1095.9541015625,-1164.3194580078125,-1070.91259765625,-662.2054443359375,-1323.7314453125,-1513.9197998046875
316013.8469144833,-661.4300537109375,-1235.8697509765625,-1102.3414306640625,-1170.890625,-1077.1041259765625,-668.0203247070312,-1330.3302001953125,-1520.506103515625
316013.85091448325,-661.4440307617188,-1234.929443359375,-1101.57763671875,-1170.146240234375,-1077.0126953125,-668.6882934570312,-1329.3604736328125,-1519.7371826171875
316013.85491448327,-656.5674438476562,-1228.979248046875,-1095.857666015625,-1164.3309326171875,-1072.01171875,-664.5850219726562,-1323.311279296875,-1513.8583984375
316013.8589144833,-651.9676513671875,-1224.44287109375,-1091.3623046875,-1159.7745361328125,-1067.2919921875,-659.7879028320312,-1318.852783203125,-1509.26611328125
316013.8629144833,-655.2435302734375,-1229.1046142578125,-1095.78076171875,-1164.1290283203125,-1070.704833984375,-662.0115966796875,-1323.7059326171875,-1513.7105712890625
316013.86691448325,-661.2811889648438,-1235.4615478515625,-1102.045166015625,-1170.5689697265625,-1076.7584228515625,-667.7705078125,-1330.0819091796875,-1520.0699462890625
316013.87091448327,-661.4590454101562,-1234.9459228515625,-1101.6265869140625,-1170.201171875,-1077.0296630859375,-668.6837768554688,-1329.4073486328125,-1519.7781982421875
316013.8749144833,-656.73779296875,-1229.4822998046875,-1096.27734375,-1164.83056640625,-1072.4268798828125,-664.722412109375,-1323.8453369140625,-1514.50439453125
316013.8789144833,-652.9588623046875,-1225.7138671875,-1092.5333251953125,-1161.094970703125,-1068.5130615234375,-660.7501220703125,-1320.0823974609375,-1510.638427734375
316013.88291448326,-655.8570556640625,-1229.9468994140625,-1096.55859375,-1165.058837890625,-1071.5101318359375,-662.6676025390625,-1324.433837890625,-1514.6068115234375
316013.8869144833,-661.7068481445312,-1236.1300048828125,-1102.65771484375,-1171.2159423828125,-1077.39794921875,-668.2705688476562,-1330.7503662109375,-1520.8038330078125
316013.8909144833,-662.1370239257812,-1235.6688232421875,-1102.3504638671875,-1171.01806640625,-1077.7591552734375,-669.2543334960938,-1330.184814453125,-1520.5565185546875
316013.8949144833,-657.25390625,-1229.9234619140625,-1096.7569580078125,-1165.405517578125,-1072.896484375,-665.0941162109375,-1324.2645263671875,-1514.9525146484375
316013.89891448326,-652.3468017578125,-1225.3985595703125,-1092.172119140625,-1160.6258544921875,-1068.2117919921875,-660.2579956054688,-1319.7401123046875,-1510.3641357421875
316013.9029144833,-655.9844360351562,-1230.2987060546875,-1096.880859375,-1165.4119873046875,-1071.83984375,-662.7305297851562,-1324.947998046875,-1515.1129150390625
