[01:34:52] === stream sub02_ses01_20260723_180607 ===
[01:34:53] subject=sub02 trials=62 train=31 eval=31
[01:34:56] [sub02] shallow task fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:34:56] fold0 ep 001 tr=0.7409 va=0.7332 val_AccPaper=0.4167 val_BalAccMaj=0.4167
[01:34:57] fold0 ep 002 tr=0.5947 va=0.6720 val_AccPaper=0.5833 val_BalAccMaj=0.5833
[01:34:57] fold0 ep 003 tr=0.5292 va=0.6453 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:34:57] fold0 ep 004 tr=0.4876 va=0.6666 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:34:57] fold0 ep 005 tr=0.4504 va=0.6714 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:34:57] fold0 ep 006 tr=0.3956 va=0.6261 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:57] fold0 ep 007 tr=0.3961 va=0.6302 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:57] fold0 ep 008 tr=0.3485 va=0.6277 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:57] fold0 ep 009 tr=0.3026 va=0.6304 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:34:58] fold0 ep 010 tr=0.3121 va=0.6243 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:58] fold0 ep 011 tr=0.2839 va=0.6197 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:58] fold0 ep 012 tr=0.2757 va=0.6211 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:58] fold0 ep 013 tr=0.2803 va=0.5937 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:34:58] fold0 ep 014 tr=0.2299 va=0.5889 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:34:58] fold0 ep 015 tr=0.2262 va=0.5876 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:58] fold0 ep 016 tr=0.2032 va=0.6019 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:34:58] fold0 ep 017 tr=0.2146 va=0.5532 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 018 tr=0.2061 va=0.5262 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 019 tr=0.1665 va=0.5573 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 020 tr=0.1693 va=0.5547 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 021 tr=0.1684 va=0.5291 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 022 tr=0.1364 va=0.4989 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 023 tr=0.1339 va=0.4698 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 024 tr=0.1274 va=0.5058 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 025 tr=0.1335 va=0.5259 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:34:59] fold0 ep 026 tr=0.1183 va=0.4938 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:00] fold0 ep 027 tr=0.1116 va=0.4504 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:00] fold0 ep 028 tr=0.1086 va=0.4339 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:00] fold0 ep 029 tr=0.1102 va=0.4255 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:00]   early stop @ ep 29
[01:35:00] [eval_half] Acc_paper=0.5738 BalAcc_maj=0.5763 win_BalAcc=0.5643
[01:35:00] [sub02] shallow task fold1 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:00] fold1 ep 001 tr=0.9864 va=1.0547 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:00] fold1 ep 002 tr=0.6290 va=0.7760 val_AccPaper=0.5833 val_BalAccMaj=0.5833
[01:35:01] fold1 ep 003 tr=0.4906 va=0.7165 val_AccPaper=0.6667 val_BalAccMaj=0.6667
