[15:33:02] === S1 cues=1398 train=699 eval=699 ===
[15:33:04] [S1] task fold0 ft_tr=17798 ft_va=4408 eval=22239
[15:33:06] fold0 ep 001 tr=0.3730 va=0.2120 val_AccPaper=0.9143
[15:33:07] fold0 ep 002 tr=0.2383 va=0.1843 val_AccPaper=0.9321
[15:33:09] fold0 ep 003 tr=0.1980 va=0.1788 val_AccPaper=0.9214
[15:33:10] fold0 ep 004 tr=0.1723 va=0.1699 val_AccPaper=0.9321
[15:33:11] fold0 ep 005 tr=0.1586 va=0.1766 val_AccPaper=0.9214
[15:33:13] fold0 ep 006 tr=0.1450 va=0.1602 val_AccPaper=0.9393
[15:33:14] fold0 ep 007 tr=0.1372 va=0.1794 val_AccPaper=0.9429
[15:33:16] fold0 ep 008 tr=0.1288 va=0.1816 val_AccPaper=0.9250
[15:33:17] fold0 ep 009 tr=0.1178 va=0.1718 val_AccPaper=0.9250
[15:33:19] fold0 ep 010 tr=0.1150 va=0.1787 val_AccPaper=0.9143
[15:33:20] fold0 ep 011 tr=0.1100 va=0.1717 val_AccPaper=0.9321
[15:33:22] fold0 ep 012 tr=0.1083 va=0.1707 val_AccPaper=0.9250
[15:33:23] fold0 ep 013 tr=0.1033 va=0.1860 val_AccPaper=0.9143
[15:33:24] fold0 ep 014 tr=0.1026 va=0.1771 val_AccPaper=0.9286
[15:33:26] fold0 ep 015 tr=0.1005 va=0.1756 val_AccPaper=0.9321
[15:33:27] fold0 ep 016 tr=0.0915 va=0.1650 val_AccPaper=0.9321
[15:33:29] fold0 ep 017 tr=0.0967 va=0.1705 val_AccPaper=0.9321
[15:33:30] fold0 ep 018 tr=0.0872 va=0.1678 val_AccPaper=0.9357
[15:33:32] fold0 ep 019 tr=0.0861 va=0.1808 val_AccPaper=0.9250
[15:33:33] fold0 ep 020 tr=0.0868 va=0.1902 val_AccPaper=0.9321
[15:33:35] fold0 ep 021 tr=0.0874 va=0.1866 val_AccPaper=0.9250
[15:33:36] fold0 ep 022 tr=0.0866 va=0.1718 val_AccPaper=0.9393
[15:33:38] fold0 ep 023 tr=0.0790 va=0.1809 val_AccPaper=0.9321
[15:33:39] fold0 ep 024 tr=0.0834 va=0.1596 val_AccPaper=0.9393
[15:33:40] fold0 ep 025 tr=0.0802 va=0.1770 val_AccPaper=0.9393
[15:33:42] fold0 ep 026 tr=0.0770 va=0.1991 val_AccPaper=0.9107
[15:33:43] fold0 ep 027 tr=0.0801 va=0.1989 val_AccPaper=0.9286
[15:33:43]   early stop @ ep 27
[15:33:46] [S1] task fold1 ft_tr=17798 ft_va=4408 eval=22239
[15:33:47] fold1 ep 001 tr=0.3639 va=0.2426 val_AccPaper=0.9143
[15:33:49] fold1 ep 002 tr=0.2472 va=0.2067 val_AccPaper=0.9250
[15:33:50] fold1 ep 003 tr=0.2036 va=0.2106 val_AccPaper=0.9393
[15:33:52] fold1 ep 004 tr=0.1798 va=0.1966 val_AccPaper=0.9107
[15:33:53] fold1 ep 005 tr=0.1609 va=0.1862 val_AccPaper=0.9250
[15:33:55] fold1 ep 006 tr=0.1516 va=0.1877 val_AccPaper=0.9250
[15:33:56] fold1 ep 007 tr=0.1392 va=0.1848 val_AccPaper=0.9286
[15:33:58] fold1 ep 008 tr=0.1321 va=0.1923 val_AccPaper=0.9286
[15:33:59] fold1 ep 009 tr=0.1253 va=0.1669 val_AccPaper=0.9286
[15:34:01] fold1 ep 010 tr=0.1158 va=0.1838 val_AccPaper=0.9179
[15:34:02] fold1 ep 011 tr=0.1200 va=0.1826 val_AccPaper=0.9286
[15:34:04] fold1 ep 012 tr=0.1111 va=0.1822 val_AccPaper=0.9357
[15:34:05] fold1 ep 013 tr=0.1112 va=0.1798 val_AccPaper=0.9214
[15:34:07] fold1 ep 014 tr=0.1039 va=0.1778 val_AccPaper=0.9250
[15:34:08] fold1 ep 015 tr=0.1006 va=0.1739 val_AccPaper=0.9321
[15:34:10] fold1 ep 016 tr=0.0999 va=0.1722 val_AccPaper=0.9357
[15:34:11] fold1 ep 017 tr=0.0984 va=0.1795 val_AccPaper=0.9286
[15:34:13] fold1 ep 018 tr=0.0918 va=0.1644 val_AccPaper=0.9214
[15:34:14] fold1 ep 019 tr=0.0915 va=0.1701 val_AccPaper=0.9321
[15:34:15] fold1 ep 020 tr=0.0946 va=0.1743 val_AccPaper=0.9321
[15:34:17] fold1 ep 021 tr=0.0864 va=0.1639 val_AccPaper=0.9321
[15:34:18] fold1 ep 022 tr=0.0868 va=0.1845 val_AccPaper=0.9500
[15:34:20] fold1 ep 023 tr=0.0807 va=0.1688 val_AccPaper=0.9429
[15:34:21] fold1 ep 024 tr=0.0815 va=0.1590 val_AccPaper=0.9250
[15:34:23] fold1 ep 025 tr=0.0784 va=0.1848 val_AccPaper=0.9464
[15:34:24] fold1 ep 026 tr=0.0791 va=0.1806 val_AccPaper=0.9393
[15:34:25] fold1 ep 027 tr=0.0770 va=0.1893 val_AccPaper=0.9357
[15:34:27] fold1 ep 028 tr=0.0761 va=0.1702 val_AccPaper=0.9429
[15:34:28] fold1 ep 029 tr=0.0712 va=0.1836 val_AccPaper=0.9250
[15:34:30] fold1 ep 030 tr=0.0766 va=0.2110 val_AccPaper=0.9214
[15:34:31] fold1 ep 031 tr=0.0771 va=0.1818 val_AccPaper=0.9429
[15:34:33] fold1 ep 032 tr=0.0814 va=0.1727 val_AccPaper=0.9357
[15:34:34] fold1 ep 033 tr=0.0751 va=0.2083 val_AccPaper=0.9393
[15:34:35] fold1 ep 034 tr=0.0715 va=0.1855 val_AccPaper=0.9429
[15:34:37] fold1 ep 035 tr=0.0748 va=0.2001 val_AccPaper=0.9357
[15:34:38] fold1 ep 036 tr=0.0764 va=0.1959 val_AccPaper=0.9357
[15:34:40] fold1 ep 037 tr=0.0679 va=0.1915 val_AccPaper=0.9321
[15:34:41] fold1 ep 038 tr=0.0677 va=0.2011 val_AccPaper=0.9393
[15:34:43] fold1 ep 039 tr=0.0694 va=0.2184 val_AccPaper=0.9321
[15:34:44] fold1 ep 040 tr=0.0687 va=0.2158 val_AccPaper=0.9357
[15:34:45] fold1 ep 041 tr=0.0752 va=0.2298 val_AccPaper=0.9321
[15:34:47] fold1 ep 042 tr=0.0616 va=0.2013 val_AccPaper=0.9321
[15:34:47]   early stop @ ep 42
[15:34:49] [S1] task fold2 ft_tr=17798 ft_va=4408 eval=22239
[15:34:51] fold2 ep 001 tr=0.3628 va=0.2309 val_AccPaper=0.9214
[15:34:52] fold2 ep 002 tr=0.2361 va=0.2012 val_AccPaper=0.9393
[15:34:54] fold2 ep 003 tr=0.1948 va=0.1766 val_AccPaper=0.9357
[15:34:55] fold2 ep 004 tr=0.1740 va=0.1775 val_AccPaper=0.9286
